"","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife","NumOfAPs"
"abdera",0.00646551724137931,0,0,0.0517241379310345,0,0.0193965517241379,0,0.040948275862069,0,0,0,0,0,0.103448275862069
"accumulo",0.0139275766016713,0,0.0334261838440111,0.0835654596100279,0,0,0,0.0417827298050139,0,0.00278551532033426,0,0.00139275766016713,0,0.158774373259053
"ace",0,0,0.00833333333333333,0.0125,0,0.0166666666666667,0,0.0333333333333333,0,0,0,0,0,0.0666666666666667
"activemq",0.0938007140538786,0,0.118468029860435,0.0756247971437845,0,0.0035702693930542,0,0.00454397922752353,0,0,0,0,0,0.198636806231743
"airavata",0.0218009478672986,0,0.0199052132701422,0.0445497630331754,0,0.0199052132701422,0,0.161137440758294,0,0,0,0,0,0.234123222748815
"ant",0.00326441784548422,0,0.00326441784548422,0.0533188248095756,0,0.0272034820457018,0,0.122959738846572,0,0.00217627856365615,0,0.00217627856365615,0,0.193688792165397
"any23",0,0,0.011070110701107,0.0738007380073801,0,0.018450184501845,0,0.0516605166051661,0,0,0,0,0,0.151291512915129
"archiva",0.00626304801670146,0,0.0125260960334029,0.0563674321503132,0,0.0250521920668058,0,0.0605427974947808,0,0,0,0,0,0.127348643006263
"aurora",0,0,0.00404858299595142,0.0688259109311741,0,0.00809716599190283,0,0.186234817813765,0,0,0,0,0,0.230769230769231
"avro",0.018018018018018,0,0.018018018018018,0.0570570570570571,0,0.00600600600600601,0,0.033033033033033,0,0.00600600600600601,0,0,0,0.126126126126126
"axis",0.0123823675086677,0.00198117880138683,0.0188211986131748,0.0510153541357107,0,0.0376423972263497,0,0.131748390292224,0,0.00693412580485389,0,0.000495294700346706,0,0.222882615156018
"bval",0.047244094488189,0,0.015748031496063,0.0433070866141732,0,0,0,0.094488188976378,0,0,0,0,0,0.192913385826772
"cassandra",0.0283842794759825,0,0.0327510917030568,0.0556768558951965,0,0.0120087336244541,0,0.0764192139737991,0,0,0,0,0,0.161572052401747
"cayenne",0,0,0,0,0,0.411764705882353,0,0,0,0,0,0,0,0.411764705882353
"chukwa",0.271255060728745,0,0.0688259109311741,0.0566801619433198,0,0,0,0.048582995951417,0,0,0,0,0,0.356275303643725
"click",0.00294985250737463,0,0.0353982300884956,0.0412979351032448,0,0,0,0.0147492625368732,0,0.0383480825958702,0,0,0,0.123893805309735
"cocoon",0.00254971953085161,0.00101988781234064,0.0101988781234064,0.0785313615502295,0,0,0,0.0402855685874554,0,0.00101988781234064,0,0,0,0.119326874043855
"continum",0,0,0,0.0477326968973747,0,0.00477326968973747,0,0.159904534606205,0,0,0,0,0,0.193317422434368
"creadur",0,0,0.0393700787401575,0.047244094488189,0,0,0,0,0,0,0,0,0,0.0866141732283465
"ctakes",0.0521472392638037,0,0.0598159509202454,0.0567484662576687,0,0,0,0.0506134969325153,0,0,0,0,0,0.174846625766871
"curator",0,0,0.0897097625329815,0.029023746701847,0,0.0184696569920844,0,0.0580474934036939,0,0,0,0,0,0.16622691292876
"deltaspike",0.00347523892267593,0,0.00260642919200695,0.0321459600347524,0,0,0,0.0912250217202433,0,0,0,0.000868809730668983,0,0.116420503909644
"drill",0.0197472353870458,0,0.0434439178515008,0.0718799368088468,0,0.018957345971564,0,0.0908372827804107,0,0.0023696682464455,0,0,0,0.204581358609795
"empire.db",0.0795454545454545,0,0.0416666666666667,0.0227272727272727,0,0.00378787878787879,0,0.0378787878787879,0,0,0,0,0,0.174242424242424
"etch",0.0276923076923077,0,0.0338461538461538,0.0338461538461538,0,0.135384615384615,0,0.0830769230769231,0,0,0,0,0,0.283076923076923
"falcon",0,0,0,0.0574712643678161,0,0.0114942528735632,0,0.0517241379310345,0,0,0,0,0,0.120689655172414
"flume",0.0162337662337662,0,0.0162337662337662,0.0681818181818182,0,0.025974025974026,0,0.0292207792207792,0,0,0,0,0,0.133116883116883
"forrest",0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0.0909090909090909
"geronimo",0.00206185567010309,0,0.00742268041237113,0.0618556701030928,0,0,0.000824742268041237,0.202061855670103,0,0.000824742268041237,0,0,0,0.240824742268041
"giraph",0,0,0.00248756218905473,0.054726368159204,0,0,0,0.174129353233831,0,0,0,0,0,0.201492537313433
"gora",0.0445859872611465,0,0.0254777070063694,0.0573248407643312,0,0.00636942675159236,0,0.197452229299363,0,0.0318471337579618,0,0,0,0.305732484076433
"helix",0.0215384615384615,0,0.0215384615384615,0.0615384615384615,0,0,0,0.00615384615384615,0,0,0,0,0,0.101538461538462
"httpcomponents.core",0.00196463654223969,0,0,0.0275049115913556,0,0.00196463654223969,0,0.0235756385068762,0,0,0,0,0,0.0510805500982318
"jackrabbit",0.00348887919755778,0,0.00392498909725251,0.0436109899694723,0,0.00915830789358918,0,0.00872219799389446,0,0.00261665939816834,0,0.00174443959877889,0,0.0680331443523768
"jena",0.0941889286697879,0.000550812448361333,0.0440649958689066,0.0663729000275406,0,0.050399339025062,0,0.0492977141283393,0,0,0,0,0,0.238226383916277
"jmeter",0,0,0.00154798761609907,0.0696594427244582,0,0.0417956656346749,0,0.159442724458204,0,0,0,0,0,0.246130030959752
"jspwiki",0.0391459074733096,0,0.0249110320284698,0.0213523131672598,0,0,0,0.106761565836299,0,0,0,0,0,0.160142348754448
"kafka",0.0403225806451613,0,0.0564516129032258,0.0483870967741935,0,0,0,0.185483870967742,0,0,0,0,0,0.241935483870968
"log4j",0.0515933232169954,0,0.0652503793626707,0.0409711684370258,0,0,0,0.0622154779969651,0,0,0,0,0,0.17298937784522
"manifoldcf",0.0204081632653061,0,0.0132052821128451,0.0828331332533013,0,0,0,0.0600240096038415,0,0.0480192076830732,0,0.00240096038415366,0,0.172869147659064
"marmotta",0.0123222748815166,0,0.0199052132701422,0.0502369668246445,0,0.0464454976303318,0,0.184834123222749,0,0.0018957345971564,0,0.000947867298578199,0,0.288151658767772
"maven",0,0,0.00164473684210526,0.0723684210526316,0,0,0,0.0378289473684211,0,0.00657894736842105,0,0,0,0.108552631578947
"metamodel",0,0,0.00217864923747277,0.0544662309368192,0,0.00435729847494553,0,0.0392156862745098,0,0,0,0,0,0.0893246187363834
"mina",0.00431034482758621,0,0.00431034482758621,0.0689655172413793,0,0.0107758620689655,0,0.0172413793103448,0,0,0,0,0,0.0905172413793103
"myfaces",0,0,0,0.080794701986755,0,0.0370860927152318,0,0.137748344370861,0,0,0,0,0,0.237086092715232
"nutch",0.0241545893719807,0,0.0241545893719807,0.0338164251207729,0,0,0,0.0434782608695652,0,0,0,0,0,0.101449275362319
"ode",0.00612745098039216,0,0.0379901960784314,0.0637254901960784,0,0.0294117647058824,0,0.165441176470588,0,0,0,0.00122549019607843,0,0.269607843137255
"ofbiz",0.0307692307692308,0,0.0282051282051282,0.0564102564102564,0,0,0,0.0820512820512821,0,0,0,0,0,0.153846153846154
"oodt",0.0096830985915493,0,0.0149647887323944,0.0572183098591549,0,0,0,0.151408450704225,0,0,0,0.000880281690140845,0,0.196302816901408
"oozie",0.0213143872113677,0,0.00710479573712256,0.0781527531083481,0,0,0,0.0746003552397869,0,0,0,0,0,0.156305506216696
"pig",0.0466367713004484,0,0.0179372197309417,0.0672645739910314,0,0.0475336322869955,0,0.226905829596413,0,0,0,0.00179372197309417,0,0.337219730941704
"poi",0.00242836328314716,0,0.00728508984944148,0.0655658086449733,0,0.0267119961146187,0,0.00971345313258863,0,0,0,0.000485672656629432,0,0.106847984458475
"rave",0,0,0.0108108108108108,0.0594594594594595,0,0.0216216216216216,0,0.0468468468468468,0,0,0,0,0,0.135135135135135
"river",0.0212443095599393,0,0.0398330804248862,0.0477996965098634,0,0,0.000379362670713202,0.0386949924127466,0,0.00189681335356601,0,0.00151745068285281,0.000379362670713202,0.121775417298938
"roller",0.0909090909090909,0,0.0762463343108504,0.0351906158357771,0,0.00293255131964809,0,0.13782991202346,0,0,0,0,0,0.249266862170088
"samza",0,0,0,0.0161290322580645,0,0,0,0.0161290322580645,0,0,0,0,0,0.0161290322580645
"santuario",0.102137767220903,0.00475059382422803,0.00237529691211401,0.0760095011876485,0,0,0,0.0261282660332542,0,0,0,0,0,0.194774346793349
"servicemix",0,0,0,0.0263157894736842,0,0,0,0.131578947368421,0,0,0,0,0,0.157894736842105
"shindig",0.00496688741721854,0,0.00662251655629139,0.0513245033112583,0,0.00662251655629139,0,0.0149006622516556,0,0,0,0,0,0.0728476821192053
"shiro",0.00867678958785249,0,0.00433839479392625,0.06941431670282,0,0,0,0.017353579175705,0,0,0,0,0,0.0889370932754881
"spark",0.016304347826087,0,0,0.0271739130434783,0,0,0,0.0326086956521739,0,0,0,0,0,0.0597826086956522
"sqoop",0.0197530864197531,0,0.0666666666666667,0.101234567901235,0,0,0,0.0246913580246914,0,0,0,0,0,0.177777777777778
"stanbol",0.00636942675159236,0,0.00636942675159236,0.0191082802547771,0,0.0191082802547771,0,0.0700636942675159,0,0,0,0,0,0.114649681528662
"storm",0,0,0.0952380952380952,0.0476190476190476,0,0,0,0.0126984126984127,0,0,0,0,0,0.13968253968254
"struts",0.0107260726072607,0,0.0132013201320132,0.0742574257425743,0,0.0313531353135314,0,0.00412541254125413,0,0.00825082508250825,0,0.000825082508250825,0,0.124587458745875
"subversion",0,0,0,0.0396039603960396,0,0.0198019801980198,0,0.0693069306930693,0,0,0,0,0,0.099009900990099
