ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.abdera.Abdera, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.019801980198019802,0.0,0.0,0.06930693069306931,0.0,0.0,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,109,core\src\main\java\org\apache\abdera\Abdera.java,0,0,0,0
org.apache.abdera.examples.appclient.Main, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,examples\src\main\java\org\apache\abdera\examples\appclient\Main.java,0,0,0,0
org.apache.abdera.examples.appclient.SSLExample, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,38,examples\src\main\java\org\apache\abdera\examples\appclient\SSLExample.java,0,0,0,0
org.apache.abdera.examples.appclient.Services, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,examples\src\main\java\org\apache\abdera\examples\appclient\Services.java,0,0,0,0
org.apache.abdera.examples.appserver.custom.AppServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,examples\src\main\java\org\apache\abdera\examples\appserver\custom\AppServer.java,0,0,0,0
org.apache.abdera.examples.appserver.custom.CustomProvider, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,examples\src\main\java\org\apache\abdera\examples\appserver\custom\CustomProvider.java,0,0,0,0
org.apache.abdera.examples.appserver.employee.AppServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,examples\src\main\java\org\apache\abdera\examples\appserver\employee\AppServer.java,0,0,0,0
org.apache.abdera.examples.appserver.employee.Employee, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,examples\src\main\java\org\apache\abdera\examples\appserver\employee\Employee.java,0,0,0,0
org.apache.abdera.examples.ext.Bidi, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,examples\src\main\java\org\apache\abdera\examples\ext\Bidi.java,0,0,0,0
org.apache.abdera.examples.ext.Features, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,examples\src\main\java\org\apache\abdera\examples\ext\Features.java,0,0,0,0
