"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",3,0.00646551724137931,0.0802345838226919,0.00643758844120057,0,0,0,0,1,12.315566339347,152.673174258858,1.01525782388446e-42,4.17998968771371e-13
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ComplexClass",24,0.0517241379310345,0.221708566173231,0.04915468831459,0,0,0,0,1,4.04819450963992,17.3878787878788,7.91619208434808e-40,1.11022302462516e-16
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",9,0.0193965517241379,0.138063051255551,0.019061406121993,0,0,0,0,1,6.96960083328563,49.5753357753358,1.03702533346469e-41,5.65365708328214e-05
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",19,0.040948275862069,0.198384309490142,0.0393563342518805,0,0,0,0,1,4.63289858088783,22.4637492607924,2.13634089700917e-40,3.12549985892474e-12
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",55,0.118534482758621,0.367351749231799,0.134947307663663,0,0,0,0,2,3.22793787260692,13.3775237822056,1.87642912500643e-37,0
"LOC",35878,77.323275862069,269.502651720309,72631.679284278,2,16,41,70,4620,13.7560757509853,212.846630009115,6.22226696693117e-41,0
"all",1741,3.75215517241379,48.3079238107435,2333.6555029046,0,0,0,0,1014,19.9111205525188,414.405507446312,9.0061166135002e-43,0
