Class,same,uchangedLines,deleted,added,changed,all, differenceSection
cnf\src\org\apache\ace\bnd\LibraryIndexer.java,83,0,0,0,0,0,0
org.apache.ace.agent\src\org\apache\ace\agent\connection\ConnectionFactoryFactory.java,0,33,48,0,0,48,10
org.apache.ace.agent\src\org\apache\ace\agent\connection\ConnectionFactoryImpl.java,0,120,134,0,0,134,34
org.apache.ace.agent\src\org\apache\ace\agent\connection\UrlCredentials.java,0,79,70,0,0,70,18
org.apache.ace.agent\src\org\apache\ace\agent\connection\UrlCredentialsFactory.java,0,113,186,0,0,186,41
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentAdminDeployer.java,0,29,31,0,0,31,8
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentAdminDeployerFactory.java,0,27,19,0,0,19,6
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentCheckTask.java,0,48,41,0,0,41,13
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentCheckTaskFactory.java,0,28,26,0,0,26,7
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentServiceFactory.java,0,27,27,0,0,27,6
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentServiceImpl.java,0,105,197,0,0,197,31
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentUpdateTask.java,0,39,33,0,0,33,11
org.apache.ace.agent\src\org\apache\ace\agent\deployment\DeploymentUpdateTaskFactory.java,0,29,24,0,0,24,8
org.apache.ace.agent\src\org\apache\ace\agent\discovery\PropertyBasedDiscoveryFactory.java,0,32,34,0,0,34,10
org.apache.ace.agent\src\org\apache\ace\agent\identification\IdentifierBasedIdentificationFactory.java,0,30,22,0,0,22,8
org.apache.ace.agent\src\org\apache\ace\agent\identification\ifconfigBasedIdentificationFactory.java,0,27,16,0,0,16,6
org.apache.ace.agent\src\org\apache\ace\agent\identification\IfconfigIdentification.java,0,52,79,0,0,79,12
org.apache.ace.agent\src\org\apache\ace\agent\identification\PropertyBasedIdentificationFactory.java,0,31,28,0,0,28,9
org.apache.ace.agent\src\org\apache\ace\agent\impl\Activator.java,44,57,2,116,37,192,29
org.apache.ace.agent\src\org\apache\ace\agent\impl\AgentContextImpl.java,0,99,0,193,0,193,40
org.apache.ace.agent\src\org\apache\ace\agent\impl\AgentControlImpl.java,0,30,0,35,0,35,10
org.apache.ace.agent\src\org\apache\ace\agent\impl\AgentUpdateHandlerImpl.java,0,49,0,147,0,147,27
org.apache.ace.agent\src\org\apache\ace\agent\impl\ComponentBase.java,0,60,0,131,0,131,40
org.apache.ace.agent\src\org\apache\ace\agent\impl\ConfigurationHandlerImpl.java,0,74,0,192,0,192,46
