"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-10.6359154608509,2.03116288296316,-5.23636757547219,1.63767645208247e-07
"sloc",0.0832071623556544,0.0193922191607522,4.29074989643563,1.78070775925303e-05
"AntiSingleton",-59.5734404770164,21221686.1426557,-2.8071963781084e-06,0.999997760181351
"ClassDataShouldBePrivate",-57.7618486746151,7964356.88974598,-7.25254398744773e-06,0.999994213307126
"ComplexClass",-5.45968194327048,5.82753804381033,-0.936876242115561,0.348822221281193
"LongParameterList",-55.6997134704807,21221686.1426563,-2.62466012813763e-06,0.999997905824206
"AntiSingleton:ClassDataShouldBePrivate",65.4218593275507,23024081.5964266,2.84145359082225e-06,0.99999773284805
"AntiSingleton:ComplexClass",2.01949952846566,51982302.5310007,3.88497513603075e-08,0.999999969002383
"AntiSingleton:LongParameterList",50.1327965792041,70500191.3477243,7.11101567539538e-07,0.999999432623038
"ClassDataShouldBePrivate:ComplexClass",-56.7360698100618,17030593.5119374,-3.33142058556523e-06,0.999997341910949
"ComplexClass:LongParameterList",-55.3201912816566,44176462.4945106,-1.25225489226374e-06,0.999999000845155
"(Intercept)",-3.65952462440228,0.10440556242162,-35.0510503417823,3.75810841986292e-269
"sloc",0.00493357530583527,0.00025326849165243,19.4796252532108,1.63471615481988e-84
