class,SLOC
org.apache.activemq.transport.amqp.AMQ4920Test,51
org.apache.activemq.transport.amqp.AMQ4930ConsumerTask,58
org.apache.activemq.transport.amqp.AmqpTestSupport,224
org.apache.activemq.transport.failover.FailoverTransportUriHandlingTest,79
org.apache.activemq.transport.failover.FailoverTransport,1140
org.apache.activemq.bugs.AMQ2513Test,51
org.apache.activemq.ActiveMQConnectionFactory,692
org.apache.activemq.broker.BrokerService,2039
org.apache.activemq.broker.jmx.ManagementContext,377
org.apache.activemq.openwire.v5.NetworkBridgeFilterTest,14
org.apache.activemq.openwire.DataFileGeneratorTestSupport,221
org.apache.activemq.command.NetworkBridgeFilter,109
org.apache.activemq.filter.DestinationMapNode,176
org.apache.activemq.filter.DestinationMap,155
org.apache.activemq.filter.AnyChildDestinationNode,94
org.apache.activemq.bugs.AMQ4554Test,50
org.apache.activemq.broker.TransportConnector,433
org.apache.activemq.JmsBenchmark,123
org.apache.activemq.broker.BrokerFactory,46
org.apache.activemq.command.ActiveMQDestination,303
org.apache.activemq.command.ActiveMQQueue,24
org.apache.activemq.JmsTestSupport,116
org.apache.activemq.JMSDurableTopicRedeliverTest,38
org.apache.activemq.JmsTopicRedeliverTest,84
org.apache.activemq.broker.scheduler.JobSchedulerTest,188
org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl,293
org.apache.activemq.util.ByteSequence,71
org.apache.activemq.util.IOHelper,205
org.apache.activemq.broker.virtual.VirtualTopicPubSubUsingXBeanTest,17
org.apache.activemq.xbean.XBeanBrokerFactory,59
org.apache.activemq.broker.virtual.VirtualTopicPubSubTest,67
org.apache.activemq.spring.ActiveMQConnectionFactoryFactoryBeanTest,53
org.apache.activemq.spring.ActiveMQConnectionFactoryFactoryBean,101
org.apache.activemq.spring.ActiveMQConnectionFactory,30
org.apache.activemq.openwire.v1.ConnectionErrorMarshaller,39
org.apache.activemq.command.ConnectionError,23
org.apache.activemq.openwire.BooleanStream,86
org.apache.activemq.openwire.OpenWireFormat,467
org.apache.activemq.openwire.v1.BaseCommandMarshaller,32
org.apache.activemq.command.ConnectionId,52
org.apache.activemq.broker.region.DestinationStatistics,157
org.apache.activemq.management.CountStatisticImpl,91
