"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","23","","","90.7567966754238","0.974331934652365","","0","","3.47203941131075","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","21","90.7567966754238","","","2.31088853847691","","0","","3.30719885261451","","","","",""
"ComplexClass","47","0.974331934652347","","2.31088853847701","","","0","","1.84314659177017","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","21","0","","0","0","","","","0","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","170","3.4720394113108","","3.30719885261451","1.84314659177015","","0","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
