"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","23","","","1.0008087833916e-14","1","","1","","0.00627943886710884","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","21","1.00080878339161e-14","","","0.239507980427808","","1","","0.0119438865648226","","","","",""
"ComplexClass","47","1","","0.239507980427808","","","1","","0.100655394713501","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","21","1","","1","1","","","","0.0359687946251459","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","170","0.00627943886710885","","0.0119438865648226","0.100655394713501","","0.0359687946251459","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
