"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","1032","","","0.0147447028299231","0.0854302803822942","","0.00425328870096312","","0.148457435039085","","","","",""
"Blob_0","1055","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","1034","0.0204913585232734","","","0.0848781908651137","","0.00424506183693805","","0.150211976858266","","","","",""
"ComplexClass_0","1008","0.0216812811306859","","0.01563358914941","","","0.00402386964886965","","0.151019847004349","","","","",""
"LargeClass_0","1055","","","","","","","","","","","","",""
"LazyClass_0","1034","0.021458476511668","","0.015683301083637","0.0844913436697559","","","","0.149776773763488","","","","",""
"LongMethod_0","1055","","","","","","","","","","","","",""
"LongParameterList_0","885","0.0191899484696095","","0.0156085391299486","0.090914366002477","","0.00362266735148091","","","","","","",""
"MessageChains_0","1055","","","","","","","","","","","","",""
"RefusedParentBequest_0","1055","","","","","","","","","","","","",""
"SpaghettiCode_0","1055","","","","","","","","","","","","",""
"SpeculativeGenerality_0","1055","","","","","","","","","","","","",""
"SwissArmyKnife_0","1055","","","","","","","","","","","","",""
"AntiSingleton_1","23","","","0.0434782608695652","0.00869565217391304","","0","","0.242512077294686","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","21","0.0476190476190476","","","0.0285714285714286","","0","","0.165079365079365","","","","",""
"ComplexClass_1","47","0.00709219858156028","","0.00974203101862676","","","0.00709219858156028","","0.139528616121912","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","21","0","","0","0.0476190476190476","","","","0.186507936507937","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","170","0.0306174136321195","","0.0141351540616247","0.0464990320137379","","0.00696078431372549","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
