"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.37813353065899,0.0113351759749153,209.801200786102,0
"sloc",0.00380173191615466,7.87965881221591e-05,48.2474178991202,0
"AntiSingleton",-25.7761222089472,47453132.8121255,-5.43191158969397e-07,0.999999566596161
"ClassDataShouldBePrivate",-38.6198874510279,30988024.5298041,-1.24628426745576e-06,0.999999005609025
"ComplexClass",0.364655052917963,0.0339829197118273,10.7305392241223,7.31679605853044e-27
"LongParameterList",0.0132518048121133,0.027585233241449,0.480394879975183,0.630946634296357
"AntiSingleton:ClassDataShouldBePrivate",63.5214475878209,56675016.347108,1.12080157504996e-06,0.999999105729727
"ComplexClass:LongParameterList",-1.22959727459717,0.0652271940117268,-18.8509914189488,2.88386735974956e-79
"(Intercept)",2.37863507307398,0.0109650213427504,216.929360985388,0
"sloc",0.00371912372684658,7.64934065912927e-05,48.6201869230117,0
"ComplexClass",0.383559817353628,0.033437405183549,11.4709803361876,1.84556527402132e-30
"ComplexClass:LongParameterList",-1.18367198653419,0.0602536009037664,-19.6448339813695,6.40056665534058e-86
