"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.37408766350094,0.0113307239618566,209.526564365436,0
"sloc",0.00381727810311501,7.84414103502612e-05,48.6640676916679,0
"ClassDataShouldBePrivate",-1.17815174347746,0.190609797892962,-6.18096108647602,6.37125214863662e-10
"ComplexClass",0.365039051891728,0.0339607031602433,10.7488661282805,5.99945693043822e-27
"LongParameterList",0.0154939940395888,0.0275828643822524,0.561725346028895,0.574303162633949
"ComplexClass:LongParameterList",-1.23803019762185,0.0652041644956195,-18.9869804666391,2.18538946062582e-80
"(Intercept)",2.37563505259148,0.0109839281868086,216.282828163839,0
"sloc",0.00382269509810641,7.78179089656873e-05,49.1235905579521,0
"ClassDataShouldBePrivate",-1.18166460533896,0.190507430563484,-6.2027218667735,5.54948670136637e-10
"ComplexClass",0.362214900960063,0.0335832711962317,10.7855753194378,4.0271545869511e-27
"ComplexClass:LongParameterList",-1.22469688263754,0.0607453623076717,-20.1611585825191,2.14793339849936e-90
