"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","3","","","","0.156716417910448","","0.041044776119403","","0.16044776119403","","","","",""
"ComplexClass","20","","","0.0438247011952191","","","0.0438247011952191","","0.0306772908366534","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","5","","","0.0413533834586466","0.157894736842105","","","","-0.852631578947368","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","14","","","0.0428015564202335","-0.047248471372985","","-0.0325180655919955","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
