"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","476","","","0.0178056516724337","0.0660233724404457","","0.00733340437624325","","0.0707353202699116","","","","",""
"Blob_0","479","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","473","0.0117522696182067","","","0.0655964593692434","","0.00737991645473951","","0.0703382927029132","","","","",""
"ComplexClass_0","452","0.0132743362831858","","0.0165929203539823","","","0.00674164208456244","","0.0718615843990988","","","","",""
"LargeClass_0","479","","","","","","","","","","","","",""
"LazyClass_0","467","0.0140445899987404","","0.0185056892135869","0.0651544438579275","","","","0.0660314327947422","","","","",""
"LongMethod_0","479","","","","","","","","","","","","",""
"LongParameterList_0","450","0.0145751633986928","","0.0179084967320261","0.0637969933795168","","0.00654938271604938","","","","","","",""
"MessageChains_0","479","","","","","","","","","","","","",""
"RefusedParentBequest_0","479","","","","","","","","","","","","",""
"SpaghettiCode_0","479","","","","","","","","","","","","",""
"SpeculativeGenerality_0","479","","","","","","","","","","","","",""
"SwissArmyKnife_0","479","","","","","","","","","","","","",""
"AntiSingleton_1","3","","","0.0555555555555556","0.5","","0","","0","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","6","0.166666666666667","","","0.316666666666667","","0","","0.0666666666666667","","","","",""
"ComplexClass_1","27","0.0206971677559913","","0.0423021060275962","","","0.0164251207729469","","0.0440213444476019","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","12","0","","0","0.208333333333333","","","","0.236111111111111","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","29","0","","0.0201149425287356","0.145464767616192","","0.0187406296851574","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
