Class,same,uchangedLines,deleted,added,changed,all, differenceSection
archiva-cli\src\main\java\org\apache\archiva\cli\AbstractProgressConsumer.java,85,0,0,0,0,0,0
archiva-cli\src\main\java\org\apache\archiva\cli\ArchivaCli.java,289,6,13,12,7,39,14
archiva-cli\src\main\java\org\apache\archiva\cli\ArtifactCountConsumer.java,100,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-artifact-converter\src\main\java\org\apache\archiva\converter\artifact\ArtifactConversionException.java,0,29,20,0,0,20,6
archiva-modules\archiva-base\archiva-artifact-converter\src\main\java\org\apache\archiva\converter\artifact\ArtifactConverter.java,0,44,12,0,0,12,7
archiva-modules\archiva-base\archiva-artifact-converter\src\main\java\org\apache\archiva\converter\artifact\LegacyRepositoryLayout.java,0,38,50,0,0,50,18
archiva-modules\archiva-base\archiva-artifact-converter\src\main\java\org\apache\archiva\converter\artifact\LegacyToDefaultConverter.java,0,136,606,0,0,606,105
archiva-modules\archiva-base\archiva-artifact-converter\src\main\java\org\apache\archiva\converter\artifact\Messages.java,0,32,39,0,0,39,9
archiva-modules\archiva-base\archiva-artifact-converter\src\test\java\org\apache\archiva\converter\artifact\LegacyToDefaultConverterTest.java,0,307,757,0,0,757,244
archiva-modules\archiva-base\archiva-checksum\src\main\java\org\apache\archiva\checksum\Checksum.java,104,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\main\java\org\apache\archiva\checksum\ChecksumAlgorithm.java,95,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\main\java\org\apache\archiva\checksum\ChecksummedFile.java,343,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\main\java\org\apache\archiva\checksum\Hex.java,51,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\test\java\org\apache\archiva\checksum\AbstractChecksumTestCase.java,61,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\test\java\org\apache\archiva\checksum\ChecksumAlgorithmTest.java,65,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\test\java\org\apache\archiva\checksum\ChecksummedFileTest.java,300,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-checksum\src\test\java\org\apache\archiva\checksum\ChecksumTest.java,112,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\BaseFile.java,104,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\DateUtil.java,129,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\FileUtil.java,36,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\package-info.java,19,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\PathUtil.java,106,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\Slf4JPlexusLogger.java,180,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\VersionComparator.java,262,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\utils\VersionUtil.java,197,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\ArchivaException.java,39,0,0,0,0,0,0
archiva-modules\archiva-base\archiva-common\src\main\java\org\apache\archiva\common\FileTypeUtils.java,39,0,0,0,0,0,0
