"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","1","","","","0.704297552199045","","","","0.1689437677427","","","","",""
"ComplexClass","17","","","0.589874872690641","","","","","0.00846328385953735","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","2","","","0.87360562872808","0.584909153197609","","","","0.304468351820268","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","46","","","0.00345013288024198","7.61605566424086e-05","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
