ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.aurora.GuavaUtils, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,src\main\java\org\apache\aurora\GuavaUtils.java,0,0,0,0
org.apache.aurora.GuiceUtils, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,src\main\java\org\apache\aurora\GuiceUtils.java,0,0,0,0
org.apache.aurora.GuiceUtilsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,src\test\java\org\apache\aurora\GuiceUtilsTest.java,0,0,0,0
org.apache.aurora.Protobufs, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\main\java\org\apache\aurora\Protobufs.java,0,0,0,0
org.apache.aurora.auth.CapabilityValidator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\main\java\org\apache\aurora\auth\CapabilityValidator.java,0,1,1,3
org.apache.aurora.auth.SessionValidator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,src\main\java\org\apache\aurora\auth\SessionValidator.java,0,0,0,0
org.apache.aurora.benchmark.SchedulerBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,src\jmh\java\org\apache\aurora\benchmark\SchedulerBenchmark.java,7,0,0,7
org.apache.aurora.codec.ThriftBinaryCodec, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,98,src\main\java\org\apache\aurora\codec\ThriftBinaryCodec.java,0,0,0,0
org.apache.aurora.codec.ThriftBinaryCodecTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,src\test\java\org\apache\aurora\codec\ThriftBinaryCodecTest.java,0,0,0,0
org.apache.aurora.scheduler.HostOffer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,34,src\main\java\org\apache\aurora\scheduler\HostOffer.java,0,0,0,0
org.apache.aurora.scheduler.ResourceSlot, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,87,src\main\java\org\apache\aurora\scheduler\ResourceSlot.java,0,0,0,0
org.apache.aurora.scheduler.ResourceSlotTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,12,src\test\java\org\apache\aurora\scheduler\ResourceSlotTest.java,0,0,0,0
org.apache.aurora.scheduler.SchedulerLifecycleTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153,src\test\java\org\apache\aurora\scheduler\SchedulerLifecycleTest.java,4,0,0,4
org.apache.aurora.scheduler.SchedulerModule, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,src\main\java\org\apache\aurora\scheduler\SchedulerModule.java,0,0,0,0
org.apache.aurora.scheduler.SchedulerServicesModule, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,src\main\java\org\apache\aurora\scheduler\SchedulerServicesModule.java,0,0,0,0
org.apache.aurora.scheduler.TaskLauncher, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,src\main\java\org\apache\aurora\scheduler\TaskLauncher.java,0,0,0,0
org.apache.aurora.scheduler.UserTaskLauncherTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,src\test\java\org\apache\aurora\scheduler\UserTaskLauncherTest.java,0,0,5,10
org.apache.aurora.scheduler.app.LocalServiceRegistryWithOverridesTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,src\test\java\org\apache\aurora\scheduler\app\LocalServiceRegistryWithOverridesTest.java,41,0,0,41
org.apache.aurora.scheduler.app.Modules, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38,src\main\java\org\apache\aurora\scheduler\app\Modules.java,0,12,4,20
