Class,same,uchangedLines,deleted,added,changed,all, differenceSection
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeDriver.java,0,27,0,24,0,24,15
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeEventSink.java,0,16,0,8,0,8,4
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeOfferManager.java,0,24,0,34,0,34,12
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeRescheduleCalculator.java,0,16,0,13,0,13,4
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeSchedulerDriver.java,0,33,0,97,0,97,21
src\jmh\java\org\apache\aurora\benchmark\fakes\FakeStatsProvider.java,0,28,0,45,0,45,16
src\jmh\java\org\apache\aurora\benchmark\BenchmarkSettings.java,0,53,0,62,0,62,17
src\jmh\java\org\apache\aurora\benchmark\Hosts.java,0,28,0,38,0,38,10
src\jmh\java\org\apache\aurora\benchmark\Offers.java,0,46,0,58,0,58,16
src\jmh\java\org\apache\aurora\benchmark\SchedulerBenchmark.java,0,17,7,0,0,7,5
src\jmh\java\org\apache\aurora\benchmark\SchedulingBenchmarks.java,0,76,0,257,0,257,30
src\jmh\java\org\apache\aurora\benchmark\StatusUpdateBenchmark.java,0,75,0,224,0,224,36
src\jmh\java\org\apache\aurora\benchmark\Tasks.java,0,49,0,107,0,107,25
src\jmh\java\org\apache\aurora\benchmark\ThriftApiBenchmarks.java,0,36,0,173,0,173,23
src\jmh\java\org\apache\aurora\benchmark\UpdateStoreBenchmarks.java,0,28,0,142,0,142,16
src\main\java\org\apache\aurora\auth\CapabilityValidator.java,58,0,0,1,1,3,1
src\main\java\org\apache\aurora\auth\SessionValidator.java,68,0,0,0,0,0,0
src\main\java\org\apache\aurora\auth\UnsecureAuthModule.java,88,0,0,0,0,0,0
src\main\java\org\apache\aurora\codec\ThriftBinaryCodec.java,225,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\app\AppModule.java,206,1,7,0,1,9,5
src\main\java\org\apache\aurora\scheduler\app\LocalServiceRegistryWithOverrides.java,0,27,64,0,0,64,12
src\main\java\org\apache\aurora\scheduler\app\Log4jConfigurator.java,69,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\app\Modules.java,61,21,0,12,4,20,6
src\main\java\org\apache\aurora\scheduler\app\SchedulerMain.java,218,5,35,25,20,100,23
src\main\java\org\apache\aurora\scheduler\app\VolumeParser.java,0,21,0,25,0,25,5
src\main\java\org\apache\aurora\scheduler\async\preemptor\BiCache.java,0,62,0,78,0,78,18
src\main\java\org\apache\aurora\scheduler\async\preemptor\CachedClusterState.java,0,22,28,0,0,28,7
src\main\java\org\apache\aurora\scheduler\async\preemptor\ClusterState.java,31,0,0,2,1,4,2
src\main\java\org\apache\aurora\scheduler\async\preemptor\ClusterStateImpl.java,0,22,0,28,0,28,7
src\main\java\org\apache\aurora\scheduler\async\preemptor\LiveClusterState.java,0,30,36,0,0,36,14
src\main\java\org\apache\aurora\scheduler\async\preemptor\PendingTaskProcessor.java,0,67,0,192,0,192,31
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptionProposal.java,0,27,0,39,0,39,12
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptionVictim.java,114,0,0,0,1,2,1
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptionVictimFilter.java,0,79,0,135,0,135,32
src\main\java\org\apache\aurora\scheduler\async\preemptor\Preemptor.java,26,25,0,71,1,73,19
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptorImpl.java,0,115,278,0,0,278,57
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptorMetrics.java,0,42,0,89,0,89,26
src\main\java\org\apache\aurora\scheduler\async\preemptor\PreemptorModule.java,81,9,4,58,21,104,19
src\main\java\org\apache\aurora\scheduler\async\AsyncModule.java,362,9,17,15,7,46,11
src\main\java\org\apache\aurora\scheduler\async\GcExecutorLauncher.java,291,0,1,1,3,8,4
src\main\java\org\apache\aurora\scheduler\async\JobUpdateHistoryPruner.java,103,0,0,1,1,3,2
src\main\java\org\apache\aurora\scheduler\async\KillRetry.java,100,0,0,1,1,3,2
src\main\java\org\apache\aurora\scheduler\async\OfferManager.java,0,158,0,248,0,248,61
src\main\java\org\apache\aurora\scheduler\async\OfferQueue.java,0,138,202,0,0,202,51
src\main\java\org\apache\aurora\scheduler\async\RandomJitterReturnDelay.java,48,0,0,0,1,2,1
src\main\java\org\apache\aurora\scheduler\async\RescheduleCalculator.java,173,0,0,0,1,2,1
src\main\java\org\apache\aurora\scheduler\async\TaskGroup.java,73,0,0,0,4,8,4
src\main\java\org\apache\aurora\scheduler\async\TaskGroups.java,233,6,24,0,4,32,11
src\main\java\org\apache\aurora\scheduler\async\TaskHistoryPruner.java,170,0,0,1,3,7,2
src\main\java\org\apache\aurora\scheduler\async\TaskScheduler.java,193,16,72,13,34,153,45
src\main\java\org\apache\aurora\scheduler\async\TaskThrottler.java,96,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\async\TaskTimeout.java,156,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\AsyncUtil.java,53,54,7,33,0,40,12
src\main\java\org\apache\aurora\scheduler\base\CommandUtil.java,106,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\Conversions.java,150,0,0,2,0,2,2
src\main\java\org\apache\aurora\scheduler\base\InstanceKeys.java,54,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\JobKeys.java,189,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\Jobs.java,76,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\Numbers.java,96,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\Query.java,385,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\ResourceAggregates.java,77,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\SchedulerException.java,31,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\TaskGroupKey.java,0,38,0,32,0,32,11
src\main\java\org\apache\aurora\scheduler\base\Tasks.java,232,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\base\TaskTestUtil.java,0,29,0,84,0,84,11
src\main\java\org\apache\aurora\scheduler\configuration\ConfigurationManager.java,472,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\configuration\Resources.java,452,5,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\configuration\SanitizedConfiguration.java,99,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\quartz\AuroraCronJob.java,237,0,5,1,3,12,7
src\main\java\org\apache\aurora\scheduler\cron\quartz\AuroraCronJobFactory.java,48,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\quartz\CronJobManagerImpl.java,214,5,23,0,16,55,21
src\main\java\org\apache\aurora\scheduler\cron\quartz\CronLifecycle.java,82,1,0,3,2,7,5
src\main\java\org\apache\aurora\scheduler\cron\quartz\CronModule.java,127,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\quartz\CronPredictorImpl.java,44,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\quartz\CronSchedulerImpl.java,69,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\quartz\Quartz.java,122,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\CronException.java,31,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\CronJobManager.java,65,26,4,0,0,4,4
src\main\java\org\apache\aurora\scheduler\cron\CronPredictor.java,29,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\CronScheduler.java,31,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\CrontabEntry.java,488,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\cron\SanitizedCronJob.java,156,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\events\EventSink.java,28,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\events\NotifyingSchedulingFilter.java,64,0,0,1,1,3,2
src\main\java\org\apache\aurora\scheduler\events\PubsubEvent.java,256,9,0,46,8,62,18
src\main\java\org\apache\aurora\scheduler\events\PubsubEventModule.java,218,0,7,1,3,14,6
src\main\java\org\apache\aurora\scheduler\filter\AttributeAggregate.java,91,23,6,41,22,91,25
src\main\java\org\apache\aurora\scheduler\filter\AttributeFilter.java,66,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\filter\ConstraintMatcher.java,115,0,0,0,0,0,0
src\main\java\org\apache\aurora\scheduler\filter\SchedulingFilter.java,243,42,8,36,14,72,33
src\main\java\org\apache\aurora\scheduler\filter\SchedulingFilterImpl.java,175,16,8,5,13,39,16
src\main\java\org\apache\aurora\scheduler\http\api\security\ApiSecurityModule.java,0,64,0,125,0,125,32
src\main\java\org\apache\aurora\scheduler\http\api\security\AuthorizeHeaderToken.java,0,36,0,30,0,30,13
src\main\java\org\apache\aurora\scheduler\http\api\security\AuthorizingParam.java,0,64,0,10,0,10,3
src\main\java\org\apache\aurora\scheduler\http\api\security\FieldGetter.java,0,40,0,33,0,33,12
src\main\java\org\apache\aurora\scheduler\http\api\security\FieldGetters.java,0,21,0,29,0,29,9
src\main\java\org\apache\aurora\scheduler\http\api\security\IniShiroRealmModule.java,0,33,0,39,0,39,11
src\main\java\org\apache\aurora\scheduler\http\api\security\Kerberos5Realm.java,0,38,0,63,0,63,14
src\main\java\org\apache\aurora\scheduler\http\api\security\Kerberos5ShiroRealmModule.java,0,52,0,146,0,146,28
src\main\java\org\apache\aurora\scheduler\http\api\security\KerberosPrincipalParser.java,0,16,0,11,0,11,4
src\main\java\org\apache\aurora\scheduler\http\api\security\ModuleParser.java,0,24,0,30,0,30,8
src\main\java\org\apache\aurora\scheduler\http\api\security\ShiroAuthenticatingThriftInterceptor.java,0,32,0,31,0,31,15
