"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","6","","","0.0712831167793995","0.652276554543956","","0.860399415937889","","0.702173912706982","","0.794245389528939","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","6","0.288510325272643","","","0.174607911160015","","0.860399415937889","","0.358367658913601","","2.59714016073658e-13","","",""
"ComplexClass","19","0.0831260814664558","","0.409766539446099","","","0.734434162028619","","0.0204734668258647","","0.0921455296002664","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","2","0.72000248933774","","0.802713616240671","0.43790540448091","","","","0.601135610991651","","0.89130954523179","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","11","0.655594860412127","","0.537105597767627","0.163057021561974","","0.802679440158759","","","","0.716686211557203","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","2","0.72000248933774","","0.00015479885811098","0.392666906914237","","0.934192238932335","","0.601135610991651","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
