ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
avro.examples.baseball.Player,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,196,lang\java\tools\src\test\compiler\output-string\avro\examples\baseball\Player.java,0,0,0,0
example.GenerateData,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,doc\examples\mr-example\src\main\java\example\GenerateData.java,0,0,0,0
example.GenericMain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,doc\examples\java-example\src\main\java\example\GenericMain.java,0,0,0,0
example.SpecificMain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,doc\examples\java-example\src\main\java\example\SpecificMain.java,0,0,0,0
org.apache.avro.AvroRemoteException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,lang\java\avro\src\main\java\org\apache\avro\AvroRemoteException.java,0,0,0,0
org.apache.avro.AvroRuntimeException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,7,lang\java\avro\src\main\java\org\apache\avro\AvroRuntimeException.java,0,0,0,0
org.apache.avro.AvroTestUtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,lang\java\avro\src\test\java\org\apache\avro\AvroTestUtil.java,0,0,0,0
org.apache.avro.AvroTypeException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,lang\java\avro\src\main\java\org\apache\avro\AvroTypeException.java,0,0,0,0
org.apache.avro.BarRecord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,lang\java\avro\src\test\java\org\apache\avro\BarRecord.java,0,0,0,0
org.apache.avro.DataFileInteropTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,lang\java\ipc\src\test\java\org\apache\avro\DataFileInteropTest.java,0,0,0,0
org.apache.avro.FooBarSpecificRecord,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,146,lang\java\avro\src\test\java\org\apache\avro\FooBarSpecificRecord.java,0,0,0,0
org.apache.avro.FooRecord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,lang\java\avro\src\test\java\org\apache\avro\FooRecord.java,0,0,0,0
org.apache.avro.GenerateBlockingData,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,lang\java\avro\src\test\java\org\apache\avro\GenerateBlockingData.java,0,0,0,0
org.apache.avro.SchemaBuilderException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,lang\java\avro\src\main\java\org\apache\avro\SchemaBuilderException.java,0,0,0,0
org.apache.avro.SchemaParseException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,lang\java\avro\src\main\java\org\apache\avro\SchemaParseException.java,0,0,0,0
org.apache.avro.SimpleException,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,lang\java\ipc\src\test\java\org\apache\avro\SimpleException.java,0,0,0,0
org.apache.avro.TestBulkData,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,lang\java\ipc\src\test\java\org\apache\avro\TestBulkData.java,0,0,0,0
org.apache.avro.TestCompare,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,189,lang\java\ipc\src\test\java\org\apache\avro\TestCompare.java,0,0,0,0
org.apache.avro.TestDataFile,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304,lang\java\avro\src\test\java\org\apache\avro\TestDataFile.java,0,0,0,0
org.apache.avro.TestDataFileConcat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,lang\java\avro\src\test\java\org\apache\avro\TestDataFileConcat.java,0,0,1,2
org.apache.avro.TestDataFileDeflate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,lang\java\avro\src\test\java\org\apache\avro\TestDataFileDeflate.java,0,0,0,0
org.apache.avro.TestDataFileMeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,lang\java\avro\src\test\java\org\apache\avro\TestDataFileMeta.java,0,0,0,0
org.apache.avro.TestDataFileSpecific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,lang\java\ipc\src\test\java\org\apache\avro\TestDataFileSpecific.java,0,0,0,0
org.apache.avro.TestNamespaceReflect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,lang\java\ipc\src\test\java\org\apache\avro\TestNamespaceReflect.java,0,0,0,0
org.apache.avro.TestNamespaceSpecific,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,lang\java\ipc\src\test\java\org\apache\avro\TestNamespaceSpecific.java,0,0,0,0
org.apache.avro.TestProtocol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,lang\java\avro\src\test\java\org\apache\avro\TestProtocol.java,0,0,0,0
org.apache.avro.TestProtocolDatagram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolDatagram.java,0,0,0,0
org.apache.avro.TestProtocolGenericMeta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolGenericMeta.java,0,0,0,0
org.apache.avro.TestProtocolHttp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,lang\java\ipc\src\test\java\org\apache\avro\TestProtocolHttp.java,0,0,0,0
