"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","1994","","0.00067215535495375","0.0171129900489071","0.122457494332071","","0.0109947299463594","","0.159941941456974","","0.0164942891493654","","0.000752256770310933",""
"Blob_0","2015","0.014487191205638","","0.016934641269241","0.122508214998491","","0.0108801446714842","","0.160842404739911","","0.0168186662847815","","0.000744416873449132",""
"ClassDataShouldBePrivate_0","1981","0.0152406311354672","0.000802765157888833","","0.12460722380859","","0.011066881127229","","0.157861802758812","","0.017107325877756","","0.000757193336698637",""
"ComplexClass_0","1916","0.0146581758533742","0.000608907446068198","0.0173458413541921","","","0.00923413240088605","","0.156987464204693","","0.0163785257887554","","0.000782881002087683",""
"LargeClass_0","2019","","","","","","","","","","","","",""
"LazyClass_0","1943","0.015538698033639","0.000818465145536684","0.017562173009532","0.121498054497491","","","","0.166931263793577","","0.0158978963272438","","0.000772002058672156",""
"LongMethod_0","2019","","","","","","","","","","","","",""
"LongParameterList_0","1753","0.0155310756555819","0.000871521835583444","0.0148182868962617","0.115740676854946","","0.0125062701158247","","","","0.019123186478704","","0.000855675984027382",""
"MessageChains_0","2019","","","","","","","","","","","","",""
"RefusedParentBequest_0","2005","0.0145594465233719","0.00079315599889166","0.0170191033204592","0.122472987000621","","0.0107010645237823","","0.161625729879333","","","","0.000249376558603491",""
"SpaghettiCode_0","2019","","","","","","","","","","","","",""
"SpeculativeGenerality_0","2018","0.0149611943901688","0.000788046470653012","0.0169094658857883","0.123069401993042","","0.0108639700262838","","0.160727178171913","","0.0165458932427328","","",""
"SwissArmyKnife_0","2019","","","","","","","","","","","","",""
"AntiSingleton_1","25","","0.01","0","0.166952380952381","","0","","0.216928571428571","","0.04","","0",""
"Blob_1","4","0.25","","0","0.375","","0","","0.0625","","0","","0",""
"ClassDataShouldBePrivate_1","38","0","0","","0.0396616541353383","","0","","0.305874060150376","","0","","0",""
"ComplexClass_1","103","0.020452673245589","0.00411272923408846","0.00862786527076368","","","0.0410766391547865","","0.228732661502218","","0.0243529820638765","","0",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","76","0","0","0","0.161622807017544","","","","0","","0.0394736842105263","","0",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","266","0.0111493032147575","0.000234962406015038","0.0306272377006537","0.170904686824203","","0","","","","0.00137844611528822","","0",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","14","0.0714285714285714","0","0","0.19969387755102","","0.0334183673469388","","0.0205612244897959","","","","0.0714285714285714",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","1","0","0","0","0","","0","","0","","0.5","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
