class,SLOC
samples.quickstart.service.axiom.StockQuoteService,32
sample.yahooservices.JSONSearch.UserInterface,81
sample.yahooservices.JSONSearch.JSONSearchModel,68
sample.yahooservices.JSONSearch.JSONSearchClient,21
org.apache.axis2.schema.compile.ComplexAllTest,6
org.apache.axis2.schema.compile.AbstractSchemaCompilerTester,49
org.apache.axis2.handlers.util.TestUtil,17
org.apache.axis2.schema.group.GroupTest,63
org.apache.axis2.schema.AbstractTestCase,284
org.apache.axis2.mtom.EchoRawMTOMToBase64Test,96
org.apache.axis2.AxisFault,252
org.apache.axis2.Constants,195
org.apache.axis2.addressing.EndpointReference,440
org.apache.axis2.client.Options,633
org.apache.axis2.client.ServiceClient,372
org.apache.axis2.client.async.AsyncResult,16
org.apache.axis2.client.async.Callback,12
org.apache.axis2.context.ConfigurationContext,565
org.apache.axis2.context.ConfigurationContextFactory,182
org.apache.axis2.description.AxisService,2085
org.apache.axis2.engine.Echo,38
org.apache.axis2.integration.TestingUtils,37
org.apache.axis2.integration.UtilServer,173
org.apache.axis2.integration.UtilServerBasedTestCase,38
org.apache.axis2.util.Utils,522
org.apache.axis2.jaxws.handler.BaseMessageContext,74
org.apache.axis2.jaxws.core.MessageContext,171
org.apache.axis2.jaxws.handler.TransportHeadersAdapter,148
org.apache.axis2.jaxws.handler.AttachmentsAdapter,126
org.apache.axis2.jaxws.handler.SOAPHeadersAdapter,186
org.apache.axis2.databinding.types.NormalizedString,41
org.apache.axis2.jaxws.sample.faultsservice.SimpleFault,16
org.apache.axis2.jaxws.sample.AddNumbersTests,45
org.apache.axis2.jaxws.TestLogger,3
org.apache.axis2.jaxws.framework.AbstractTestCase,43
org.apache.axis2.jaxws.sample.addnumbers.AddNumbersService,32
org.apache.axis2.jaxws.sample.AddressBookTests,83
org.apache.axis2.jaxws.description.DBCwithReduceWSDLMemoryParmsTests,74
org.apache.axis2.jaxws.description.builder.DescriptionBuilderComposite,644
org.apache.axis2.jaxws.description.builder.MethodDescriptionComposite,309
org.apache.axis2.jaxws.description.builder.ParameterDescriptionComposite,136
org.apache.axis2.jaxws.description.builder.WebServiceAnnot,112
org.apache.axis2.description.AxisDescription,336
org.apache.axis2.jaxws.description.DescriptionTestUtils,55
org.apache.axis2.jaxws.description.DescriptionFactory,162
org.apache.axis2.corba.idl.types.IDL,46
org.apache.axis2.corba.idl.types.Interface,24
org.apache.axis2.corba.idl.types.CompositeDataType,39
org.apache.axis2.classloader.JarFileClassLoader,208
org.apache.axis2.classloader.MultiParentClassLoader,248
org.apache.axis2.classloader.UrlResourceFinder,186
sample.rmi.server.dto.ParentClass,16
sample.rmi.server.dto.TestClass1,23
samples.ping.receivers.RawXMLINOnlyMessageReceiver,10
org.apache.axis2.receivers.AbstractInMessageReceiver,2
org.apache.axis2.context.MessageContext,2084
org.apache.axis2.description.AxisOperation,331
org.apache.axis2.i18n.Messages,125
org.apache.axis2.receivers.RawXMLINOnlyMessageReceiver,35
org.apache.axis2.jaxws.sample.faultsservice.ComplexFault_Exception,16
org.apache.axis2.jaxws.sample.BareNoArgTests,27
org.apache.axis2.jaxws.sample.doclitbarenoarg.sei.BareDocLitNoArgService,34
org.apache.axis2.addressing.MultiHopRedirectService2,10
org.apache.axis2.context.OperationContext,448
org.apache.axis2.addressing.RelatesTo,65
