"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",25,0.0123823675086677,0.110612406473904,0.0122351044659481,0,0,0,0,1,8.81887394245084,78.7725376128385,2.96459310545054e-71,1.22457599616155e-13
"Blob",4,0.00198117880138683,0.0444773373813275,0.00197823354053243,0,0,0,0,1,22.399821095528,502.751985111663,1.35274549926956e-72,0
"ClassDataShouldBePrivate",38,0.0188211986131748,0.135926863483279,0.0184761122164021,0,0,0,0,1,7.08172021323667,51.1507611785648,1.35888208776306e-70,7.89505127940515e-10
"ComplexClass",103,0.0510153541357107,0.220083571076288,0.0484367782576917,0,0,0,0,1,4.0811394948449,17.6556995763828,5.92436137970504e-68,0
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",76,0.0376423972263497,0.190376989997515,0.0362433983205141,0,0,0,0,1,4.85848785576921,24.6049042446569,5.87486869150932e-69,0
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",266,0.131748390292224,0.338300808684703,0.114447437156724,0,0,0,0,1,2.17760543680682,5.74196543841063,3.32183298912074e-63,0
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",16,0.0079247152055473,0.104110762272528,0.0108390508209669,0,0,0,0,3,17.3406528502877,391.363248255056,5.20199812656459e-72,0
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",1,0.000495294700346706,0.0222552173736117,0.000495294700346706,0,0,0,0,1,44.899894159565,2017.00049554014,7.17145825579807e-73,0
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",529,0.262010896483408,0.529784927359044,0.280672069256827,0,0,0,0,4,2.11830445248265,7.7799481877186,1.91692453982985e-58,0
"LOC",124414,61.6215948489351,218.087478127899,47562.1481161866,0,14,28,61,6433,25.0140475715,723.34486783497,7.08615525055759e-70,0
"all",550,0.272412085190688,2.79637431202193,7.81970929293614,0,0,0,0,60,13.7609563131393,221.378312939801,1.71060689497746e-71,0
