Class,same,uchangedLines,deleted,added,changed,all, differenceSection
modules\adb\src\org\apache\axis2\databinding\i18n\ADBMessages.java,157,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\typemapping\SimpleTypeMapper.java,328,2,0,3,2,7,3
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_boolean.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_byte.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_double.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_float.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_int.java,471,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_long.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\_short.java,492,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\AnyType.java,435,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\AnyURI.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Array.java,718,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\ArrayCoordinate.java,459,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\ArrayE.java,378,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Base64.java,459,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Base64Binary.java,478,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Date.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\DateTime.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Decimal.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\Duration.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\ENTITIES.java,500,0,0,0,0,0,0
modules\adb\src\org\apache\axis2\databinding\types\soapencoding\ENTITY.java,500,0,0,0,0,0,0
