class,SLOC
org.apache.camel.component.exec.ExecException,14
org.apache.camel.RuntimeCamelException,14
org.apache.camel.component.restlet.RestRestletGetTest,32
org.apache.camel.builder.RouteBuilder,228
org.apache.camel.impl.JndiRegistry,94
org.apache.camel.component.restlet.RestletTestSupport,30
org.apache.camel.component.restlet.DefaultRestletBinding,309
org.apache.camel.model.rest.RestConfigurationDefinition,295
org.apache.camel.model.rest.RestDefinition,350
org.apache.camel.component.http.CamelServlet,153
org.apache.camel.ExchangePattern,72
org.apache.camel.component.http.helper.HttpHelper,209
org.apache.camel.impl.DefaultExchange,309
org.apache.camel.component.http.HttpConsumer,47
org.apache.camel.component.http.HttpServletResolveConsumerStrategy,21
org.apache.camel.component.http.HttpEndpoint,247
org.apache.camel.component.http.HttpMessage,33
org.apache.camel.impl.DefaultConsumer,69
org.apache.camel.impl.DefaultEndpoint,216
org.apache.camel.component.lucene.LuceneIndexer,105
org.apache.camel.converter.IOConverter,347
org.apache.camel.component.jetty.jettyproducer.JettyHttpProducerConcurrentTest,51
org.apache.camel.component.jetty.BaseJettyTest,37
org.apache.camel.component.mock.MockEndpoint,789
org.apache.camel.builder.ValueBuilder,171
org.apache.camel.test.junit4.CamelTestSupport,392
org.apache.camel.component.jms.tx.TransactionMinimalConfigurationTest,27
org.apache.camel.test.spring.CamelSpringTestSupport,104
org.apache.camel.builder.ExpressionClauseSupport,341
org.apache.camel.component.zookeeper.operations.GetDataOperation,20
org.apache.camel.component.zookeeper.operations.ZooKeeperOperation,51
org.apache.camel.component.zookeeper.operations.OperationResult,40
org.apache.camel.itest.osgi.core.management.OSGiIntegrationManagedCamelContextTest,35
org.apache.camel.itest.osgi.OSGiIntegrationTestSupport,132
org.apache.camel.component.mail.MailBatchConsumerTest,51
org.apache.camel.component.mail.DefaultJavaMailSender,85
org.apache.camel.component.feed.FeedEndpoint,97
org.apache.camel.itest.sql.FromJmsToJdbcIdempotentConsumerToJmsTest,134
org.apache.camel.builder.NotifyBuilder,965
org.apache.camel.component.cometd.CometBindingTest,67
org.apache.camel.component.cometd.CometdBinding,79
org.apache.camel.component.mina2.Mina2NoDefaultCodecTest,22
org.apache.camel.component.mina2.BaseMina2Test,42
org.apache.camel.component.mina2.Mina2Producer,373
org.apache.camel.component.salesforce.SalesforceLoginConfig,58
org.apache.camel.processor.ValidatingDomProcessorTest,22
org.apache.camel.CamelExecutionException,9
org.apache.camel.processor.validation.NoXmlBodyValidationException,9
org.apache.camel.processor.ValidatingProcessorTest,108
org.apache.camel.processor.validation.ValidatingProcessor,302
org.apache.camel.test.blueprint.DebugBlueprintTest,30
org.apache.camel.model.ProcessorDefinition,1335
org.apache.camel.test.blueprint.CamelBlueprintTestSupport,191
org.apache.camel.component.mongodb.MongoDbOperation,1
org.apache.camel.management.ManagedProducerTest,31
org.apache.camel.ServiceStatus,30
org.apache.camel.management.ManagementTestSupport,13
org.apache.camel.impl.RouteRemove2Test,45
org.apache.camel.ContextTestSupport,202
org.apache.camel.impl.DefaultCamelContext,2050
org.apache.camel.component.servletlistener.CamelServletContextListener,316
org.apache.camel.ManagementStatisticsLevel,3
org.apache.camel.builder.ErrorHandlerBuilderRef,111
