"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.04264976629964,0.172716206001312,-17.6164694485967,1.84144612507176e-69
"sloc",0.00256392492441936,0.00100828461259163,2.54285832829404,0.0109949799148083
"AntiSingleton",-32.410624942349,3292.73957205423,-0.00984305750063588,0.992146503204714
"ClassDataShouldBePrivate",1.71548531076379,0.722788533025741,2.37342629604598,0.0176239100249119
"ComplexClass",-0.24727862294166,0.651996197931217,-0.379263903265501,0.704491901846694
"LongParameterList",1.2410916858614,0.324151300995758,3.82874195491089,0.000128799966051266
"AntiSingleton:ClassDataShouldBePrivate",31.5806798294246,3292.73942205585,0.00959100486904214,0.992347602613243
"AntiSingleton:ComplexClass",0.330240883616906,10507.0983399718,3.14302648487244e-05,0.999974922276939
"AntiSingleton:LongParameterList",16.142443271555,2105.56986450546,0.00766654364866986,0.993883043109663
"ClassDataShouldBePrivate:ComplexClass",-18.1129918841307,4640.90617931348,-0.00390289981833033,0.99688594439847
"ClassDataShouldBePrivate:LongParameterList",-16.4724382031033,2105.56953310328,-0.00782326963993703,0.993757997611477
"ComplexClass:LongParameterList",-0.80204438158587,1.20345691247088,-0.666450433974536,0.505123235255238
"(Intercept)",-3.01047144137561,0.170717230390393,-17.634256568545,1.34452927702206e-69
"sloc",0.00212584225170807,0.000929242010339334,2.28771647004182,0.0221540379314877
"ClassDataShouldBePrivate",0.801425229567515,0.466401270783034,1.71831699390959,0.0857388113376974
"LongParameterList",1.08783945729745,0.300682149460306,3.61790501780704,0.000296997343705491
"(Intercept)",-2.96593438276986,0.166113308135605,-17.8548872216105,2.64815076253933e-71
"sloc",0.00205719874629041,0.0009283101577508,2.21606833568943,0.0266868224289273
"LongParameterList",1.11222103725184,0.301182394044836,3.69284878280857,0.000221755895624983
