Class,same,uchangedLines,deleted,added,changed,all, differenceSection
examples\client_only\src\ClientOnlyExample.java,114,0,0,0,0,0,0
examples\hadoop_cql3_word_count\src\WordCount.java,261,0,0,0,0,0,0
examples\hadoop_cql3_word_count\src\WordCountCounters.java,168,0,0,0,0,0,0
examples\hadoop_cql3_word_count\src\WordCountSetup.java,181,0,0,0,0,0,0
examples\hadoop_word_count\src\WordCount.java,226,0,0,0,0,0,0
examples\hadoop_word_count\src\WordCountCounters.java,104,0,0,0,0,0,0
examples\hadoop_word_count\src\WordCountSetup.java,239,0,0,0,0,0,0
examples\triggers\src\org\apache\cassandra\triggers\InvertedIndex.java,77,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\AuthenticationException.java,413,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\AuthenticationRequest.java,465,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\AuthorizationException.java,413,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CASResult.java,574,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\Cassandra.java,55794,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\cassandraConstants.java,61,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CfDef.java,4927,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CfSplit.java,614,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\Column.java,754,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ColumnDef.java,915,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ColumnOrSuperColumn.java,771,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ColumnParent.java,538,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ColumnPath.java,660,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ColumnSlice.java,551,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\Compression.java,69,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\ConsistencyLevel.java,137,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CounterColumn.java,521,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CounterSuperColumn.java,576,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CqlMetadata.java,817,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CqlPreparedResult.java,821,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CqlResult.java,807,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CqlResultType.java,69,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\CqlRow.java,584,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\Deletion.java,645,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\EndpointDetails.java,630,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\IndexClause.java,681,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\IndexExpression.java,650,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\IndexOperator.java,75,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\IndexType.java,69,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\InvalidRequestException.java,414,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\KeyCount.java,521,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\KeyRange.java,1034,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\KeySlice.java,583,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\KsDef.java,1047,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\MultiSliceRequest.java,1042,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\Mutation.java,537,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\NotFoundException.java,307,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\SchemaDisagreementException.java,310,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\SlicePredicate.java,588,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\SliceRange.java,749,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\SuperColumn.java,582,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\TimedOutException.java,671,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\TokenRange.java,990,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\TriggerDef.java,568,0,0,0,0,0,0
interface\thrift\gen-java\org\apache\cassandra\thrift\UnavailableException.java,307,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\AllowAllAuthenticator.java,77,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\AllowAllAuthorizer.java,70,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\AllowAllInternodeAuthenticator.java,36,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\Auth.java,295,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\AuthenticatedUser.java,86,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\CassandraAuthorizer.java,264,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\DataResource.java,248,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\IAuthenticator.java,124,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\IAuthorizer.java,122,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\IInternodeAuthenticator.java,44,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\IResource.java,53,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\ISaslAwareAuthenticator.java,41,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\LegacyAuthenticator.java,94,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\LegacyAuthorizer.java,114,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\PasswordAuthenticator.java,336,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\Permission.java,57,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\PermissionDetails.java,79,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\PermissionsCache.java,153,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\PermissionsCacheMBean.java,31,0,0,0,0,0,0
src\java\org\apache\cassandra\auth\Resources.java,65,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\AutoSavingCache.java,344,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\CacheKey.java,28,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\CachingOptions.java,288,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\ConcurrentLinkedHashCache.java,133,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\CounterCacheKey.java,91,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\ICache.java,54,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\IMeasurableMemory.java,32,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\InstrumentingCache.java,132,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\IRowCacheEntry.java,22,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\KeyCacheKey.java,81,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\RefCountedMemory.java,73,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\RowCacheKey.java,87,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\RowCacheSentinel.java,57,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\SerializingCache.java,281,0,0,0,0,0,0
src\java\org\apache\cassandra\cache\SerializingCacheProvider.java,68,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliClient.java,3234,0,0,0,1,2,1
src\java\org\apache\cassandra\cli\CliCommandHelp.java,24,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliCompiler.java,172,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliCompleter.java,85,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliMain.java,407,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliOptions.java,319,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliSessionState.java,96,0,0,0,0,0,0
src\java\org\apache\cassandra\cli\CliUserHelp.java,29,0,0,0,0,0,0
