ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.hadoop.chukwa.ChukwaArchive, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,contrib\chukwa-pig\src\java\org\apache\hadoop\chukwa\ChukwaArchive.java,0,0,0,0
org.apache.hadoop.chukwa.ChukwaArchiveKey, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.4,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,328,src\main\java\org\apache\hadoop\chukwa\ChukwaArchiveKey.java,0,0,0,0
org.apache.hadoop.chukwa.Chunk, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,src\main\java\org\apache\hadoop\chukwa\Chunk.java,0,0,0,0
org.apache.hadoop.chukwa.ChunkBuilder, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,src\main\java\org\apache\hadoop\chukwa\ChunkBuilder.java,0,0,0,0
org.apache.hadoop.chukwa.ChunkImplTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,src\test\java\org\apache\hadoop\chukwa\ChunkImplTest.java,0,0,0,0
org.apache.hadoop.chukwa.PARSEDOUBLE, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,contrib\chukwa-pig\src\java\org\apache\hadoop\chukwa\PARSEDOUBLE.java,0,0,0,0
org.apache.hadoop.chukwa.PigTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\PigTest.java,0,0,0,0
org.apache.hadoop.chukwa.RecordMerger, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,contrib\chukwa-pig\src\java\org\apache\hadoop\chukwa\RecordMerger.java,0,0,0,0
org.apache.hadoop.chukwa.TestChunkBuilder, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,src\test\java\org\apache\hadoop\chukwa\TestChunkBuilder.java,0,0,0,0
org.apache.hadoop.chukwa.TestParseDouble, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,contrib\chukwa-pig\test\src\java\org\apache\hadoop\chukwa\TestParseDouble.java,0,0,0,0
