"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",67,0.271255060728745,0.445510171296178,0.19847931272835,0,0,0,1,1,1.02897492020035,2.05878938640133,1.1830383438493e-24,0
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",17,0.0688259109311741,0.253671892253341,0.0643494289193904,0,0,0,0,1,3.40636533686335,12.6033248081841,5.03977880632279e-30,4.34652314140749e-13
"ComplexClass",14,0.0566801619433198,0.231699954321303,0.053684868832494,0,0,0,0,1,3.83444167771098,15.702942979767,1.63803119529027e-30,4.46221837258065e-10
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",12,0.048582995951417,0.215431162006209,0.0464105855633455,0,0,0,0,1,4.19933294263751,18.6343971631206,7.38310540786838e-31,4.19096379822292e-09
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",110,0.445344129554656,0.659551910433789,0.435008722556861,0,0,0,1,3,1.26654735699531,3.71032907572412,1.56916888313374e-21,0
"LOC",15296,61.9271255060729,67.6628024125633,4578.25483032158,2,18,41,72.5,467,2.46828416975832,10.6456107670726,6.95425416830478e-20,6.93492041570209e-09
"all",732,2.96356275303644,10.5796768021964,111.929561238932,0,0,0,0,103,5.49242512093583,41.1661249832069,2.33660167432598e-29,0
