"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","","1","0.0410557184750735","","","","1","","1","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","12","1","","","1","","","","1","","0.377665839956773","","",""
"ComplexClass","14","0.0410557184750733","","1","","","","","0.190127502743819","","1","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","5","1","","1","0.190127502743819","","","","","","1","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","13","1","","0.377665839956773","1","","","","1","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
