"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","1","","","-0.982248520710059","0.325443786982249","","","","0.150887573964497","","-0.816568047337278","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","12","-0.0682976554536188","","","0.228083588175331","","","","0.155963302752294","","0.02217125382263","","",""
"ComplexClass","14","0.0184615384615385","","-0.0558241758241758","","","","","0.00923076923076923","","0.0450549450549451","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","5","0.0179640718562874","","0.0179640718562874","0.0401197604790419","","","","","","0.110778443113772","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","13","-0.0618216139688532","","-0.0627654554034922","0.237140160453044","","","","0.156441717791411","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
