class,SLOC
org.apache.cloudstack.storage.command.CommandResult,26
org.apache.cloudstack.engine.subsystem.api.storage.CopyCommandResult,15
org.apache.cloudstack.engine.subsystem.api.storage.CreateCmdResult,18
com.cloud.bridge.persist.dao.SMetaDaoImpl,51
com.cloud.bridge.model.SMetaVO,63
com.cloud.bridge.service.core.s3.S3MetaDataEntry,18
com.cloud.utils.db.GenericDaoBase,1565
com.cloud.utils.db.SearchBuilder,5
com.cloud.utils.db.SearchCriteria,237
com.cloud.utils.db.TransactionLegacy,926
com.cloud.utils.db.SearchBase,316
com.cloud.utils.db.GenericSearchBuilder,75
com.cloud.server.api.response.PxePingResponse,29
org.apache.cloudstack.api.ApiConstants,597
com.cloud.server.api.response.NwDevicePxeServerResponse,38
org.apache.cloudstack.ldap.LdapUserManager,152
org.apache.cloudstack.ldap.LdapConfiguration,115
org.apache.cloudstack.ldap.LdapUser,52
org.apache.cloudstack.ldap.LdapUtils,36
org.apache.cloudstack.api.command.admin.storage.DeletePoolCmd,39
org.apache.cloudstack.api.ApiErrorCode,30
org.apache.cloudstack.api.BaseCmd,245
org.apache.cloudstack.api.ServerApiException,54
org.apache.cloudstack.api.response.StoragePoolResponse,207
org.apache.cloudstack.api.response.SuccessResponse,25
com.cloud.storage.StoragePoolStatus,3
org.apache.cloudstack.ratelimit.StoreEntryImpl,28
com.amazon.s3.client.AmazonS3Stub,23915
com.amazon.s3.client.AmazonS3CallbackHandler,76
com.cloud.usage.UsageJobVO,110
com.amazon.ec2.CustomerGatewayType,456
com.amazon.ec2.ResourceTagSetType,278
com.amazon.ec2.ExtensionMapper,1776
org.apache.cloudstack.api.command.admin.storage.ListImageStoresCmd,42
org.apache.cloudstack.api.BaseListCmd,86
org.apache.cloudstack.api.response.ImageStoreResponse,93
org.apache.cloudstack.api.response.ListResponse,23
org.apache.cloudstack.api.response.ZoneResponse,154
org.apache.cloudstack.api.BaseResponse,46
com.amazon.ec2.DeleteRouteTableType,244
com.cloud.agent.manager.MockVmManagerImpl,501
com.cloud.agent.api.Answer,33
com.cloud.agent.api.BumpUpPriorityCommand,9
com.cloud.agent.api.CheckRouterAnswer,52
com.cloud.agent.api.CheckRouterCommand,13
com.cloud.agent.api.CheckVirtualMachineAnswer,23
com.cloud.agent.api.CheckVirtualMachineCommand,16
com.cloud.agent.api.CleanupNetworkRulesCmd,17
com.cloud.agent.api.CreateVMSnapshotAnswer,26
com.cloud.agent.api.CreateVMSnapshotCommand,5
com.cloud.agent.api.DeleteVMSnapshotAnswer,18
com.cloud.agent.api.DeleteVMSnapshotCommand,5
com.cloud.agent.api.FenceAnswer,14
com.cloud.agent.api.FenceCommand,32
com.cloud.agent.api.GetDomRVersionAnswer,22
com.cloud.agent.api.GetDomRVersionCmd,13
com.cloud.agent.api.GetVmStatsAnswer,12
com.cloud.agent.api.GetVmStatsCommand,25
com.cloud.agent.api.GetVncPortAnswer,24
com.cloud.agent.api.GetVncPortCommand,20
com.cloud.agent.api.MigrateAnswer,12
com.cloud.agent.api.MigrateCommand,39
com.cloud.agent.api.NetworkRulesVmSecondaryIpCommand,40
com.cloud.agent.api.PrepareForMigrationAnswer,13
com.cloud.agent.api.PrepareForMigrationCommand,15
com.cloud.agent.api.RebootAnswer,19
com.cloud.agent.api.RebootCommand,18
com.cloud.agent.api.RevertToVMSnapshotAnswer,27
com.cloud.agent.api.RevertToVMSnapshotCommand,16
com.cloud.agent.api.ScaleVmCommand,76
com.cloud.agent.api.SecurityGroupRuleAnswer,39
com.cloud.agent.api.SecurityGroupRulesCmd,220
