"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.48179509431442,0.309660918708849,-1.55587956117709,0.11973673442789
"sloc",-0.00710140268478025,0.00203938192749679,-3.48213475319787,0.000497433304057834
"AntiSingleton",-35.9795437802379,47453132.812126,-7.58212190598378e-07,0.999999395034199
"ClassDataShouldBePrivate",-36.476095195677,18612650.0146264,-1.95974754626628e-06,0.99999843634769
"ComplexClass",2.96544692112872,1.02399096667361,2.89596980602461,0.00377988766885543
"LongParameterList",1.35887897832308,1.48018923404492,0.918044089950354,0.358595783739817
"AntiSingleton:ClassDataShouldBePrivate",36.5352739714572,64026794.6257071,5.70624754605287e-07,0.999999544707318
"ClassDataShouldBePrivate:ComplexClass",-1.32320199853003,42984073.9851073,-3.0783540875825e-08,0.999999975438288
"ClassDataShouldBePrivate:LongParameterList",-1.26664955581248,77490641.390821,-1.63458390984814e-08,0.999999986957907
"ComplexClass:LongParameterList",3.31407653525588,3.12594111007126,1.06018521096846,0.289060347857004
"(Intercept)",-0.708746740992158,0.307260919058987,-2.30666087689497,0.0210737328997914
"sloc",-0.00223611959266608,0.0017437408680716,-1.28236920611891,0.199713161226188
"ComplexClass",2.67501136107974,0.967324261577409,2.76537193093618,0.00568579264541747
"(Intercept)",-0.829925200734318,0.270478587167182,-3.06835823651114,0.00215238424152559
"ComplexClass",1.83322730959811,0.958684378902618,1.91223237797674,0.0558463949066639
