Class,same,uchangedLines,deleted,added,changed,all, differenceSection
continuum-api\src\main\java\org\apache\continuum\builder\distributed\executor\DistributedBuildTaskExecutor.java,33,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\builder\distributed\executor\DistributedBuildTaskQueueExecutor.java,65,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\builder\distributed\manager\DistributedBuildManager.java,128,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\builder\distributed\work\ContinuumWorker.java,25,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\builder\distributed\DistributedBuildService.java,49,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\buildmanager\BuildManagerException.java,42,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\buildmanager\BuildsManager.java,476,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\buildqueue\BuildQueueService.java,48,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\buildqueue\BuildQueueServiceException.java,42,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\BuildAgentConfiguration.java,71,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\BuildAgentConfigurationException.java,39,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\BuildAgentGroupConfiguration.java,81,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\ContinuumConfiguration.java,53,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\ContinuumConfigurationException.java,45,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\GeneralConfiguration.java,188,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\configuration\ProxyConfiguration.java,100,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\BuildDefinitionDao.java,128,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\BuildDefinitionTemplateDao.java,70,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\BuildQueueDao.java,49,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\BuildResultDao.java,107,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ContinuumReleaseResultDao.java,50,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\DaoUtils.java,44,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\DirectoryPurgeConfigurationDao.java,54,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\DistributedDirectoryPurgeConfigurationDao.java,103,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\InstallationDao.java,50,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\LocalRepositoryDao.java,54,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\NotifierDao.java,36,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ProfileDao.java,47,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ProjectDao.java,84,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ProjectGroupDao.java,172,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ProjectScmRootDao.java,51,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\RepositoryPurgeConfigurationDao.java,52,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\ScheduleDao.java,51,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\dao\SystemConfigurationDao.java,38,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\controller\PurgeController.java,40,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\executor\ContinuumPurgeExecutor.java,33,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\executor\ContinuumPurgeExecutorException.java,44,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\repository\content\RepositoryManagedContent.java,186,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\repository\scanner\RepositoryScanner.java,52,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\ContinuumPurgeManager.java,71,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\ContinuumPurgeManagerException.java,44,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\PurgeConfigurationService.java,122,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\purge\PurgeConfigurationServiceException.java,44,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\release\distributed\manager\DistributedReleaseManager.java,84,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\repository\RepositoryService.java,112,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\repository\RepositoryServiceException.java,44,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\manager\TaskQueueManager.java,97,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\manager\TaskQueueManagerException.java,39,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\BuildProjectTask.java,159,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\CheckOutTask.java,112,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\OverallBuildQueue.java,397,0,0,0,0,0,0
continuum-api\src\main\java\org\apache\continuum\taskqueue\OverallDistributedBuildQueue.java,56,0,0,0,0,0,0
