ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
elements.Source, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,apache-rat-core\src\test\resources\elements\Source.java,0,0,0,0
org.apache.rat.Defaults, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,apache-rat-core\src\main\java\org\apache\rat\Defaults.java,0,0,0,0
org.apache.rat.ReportConfiguration, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,apache-rat-core\src\main\java\org\apache\rat\ReportConfiguration.java,0,0,0,0
org.apache.rat.ReportFailedRuntimeException, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,apache-rat-core\src\main\java\org\apache\rat\ReportFailedRuntimeException.java,0,0,0,0
org.apache.rat.ReportTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,apache-rat-core\src\test\java\org\apache\rat\ReportTest.java,0,0,0,0
org.apache.rat.ReportTransformer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,apache-rat-core\src\main\java\org\apache\rat\ReportTransformer.java,0,0,0,0
org.apache.rat.ReportTransformerTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,apache-rat-core\src\test\java\org\apache\rat\ReportTransformerTest.java,0,0,0,0
org.apache.rat.analysis.AnalyserFactoryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,apache-rat-core\src\test\java\org\apache\rat\analysis\AnalyserFactoryTest.java,0,0,0,0
org.apache.rat.analysis.DefaultAnalyserFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,apache-rat-core\src\main\java\org\apache\rat\analysis\DefaultAnalyserFactory.java,0,0,0,0
org.apache.rat.analysis.DocumentHeaderAnalyser, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,apache-rat-core\src\main\java\org\apache\rat\analysis\DocumentHeaderAnalyser.java,0,0,0,0
