"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","34","","","22.671916434597","1.0410172888304","","","","1.18313962647219","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","39","22.6719164345973","","","1.41823657227737","","","","1.61798847280918","","","","",""
"ComplexClass","37","1.04101728883037","","1.41823657227742","","","","","4.19894245490209","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","33","1.18313962647226","","1.61798847280918","4.19894245490216","","","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
