"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","0","","","","","","","","","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","34","","","","1","","1","","0.123229475801771","","","","",""
"ComplexClass","11","","","1","","","1","","7.22148724734868e-06","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","7","","","1","1","","","","1","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","22","","","0.123229475801771","7.22148724734868e-06","","1","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
