"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"AntiSingleton",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"Blob",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"ClassDataShouldBePrivate",34,0.0897097625329815,0.286143247111309,0.0818779578674038,0,0,0,0,1,2.87151694199548,9.24560954816709,4.5355936460075e-35,0
"ComplexClass",11,0.029023746701847,0.168094981230927,0.0282559227150256,0,0,0,0,1,5.61109942514774,32.4844367588933,6.51045216293455e-38,8.76021607143507e-06
"LargeClass",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LazyClass",7,0.0184696569920844,0.134820205583139,0.0181764878334799,0,0,0,0,1,7.15273894023529,52.1616743471582,1.44693574636451e-38,0.0290121636592222
"LongMethod",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"LongParameterList",22,0.0580474934036939,0.234142334188084,0.0548226326590443,0,0,0,0,1,3.78006579005348,15.2888973771327,2.03062731593639e-36,7.7715611723761e-16
"MessageChains",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"RefusedParentBequest",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpaghettiCode",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SpeculativeGenerality",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"SwissArmyKnife",0,0,0,0,0,0,0,0,0,NA,NA,-1,-1
"NumOfAPs",74,0.195250659630607,0.46448313194418,0.215744579860675,0,0,0,0,2,2.36351355978645,7.91925120534138,3.78190966149653e-32,0
"LOC",41664,109.931398416887,122.144551977028,14919.2915776689,4,25,72,188,955,2.657539994272,13.588215623273,3.65816403314496e-24,1.14397380457376e-12
"all",347,0.9155672823219,7.10154952780433,50.4320056958579,0,0,0,0,105,10.9869253947257,141.027582940505,1.3530410954341e-38,0
