"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","4","","","0.0124237140366173","-0.152136006974717","","","","0.0869659982563208","","","","0.000653879686137751",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","3","0.0139372822299652","","","-0.208478513356562","","","","0.115853658536585","","","","0.000871080139372822",""
"ComplexClass","37","-0.0963656654859527","","-0.0933815323402397","","","","","-0.373962831772527","","","","0.000897666068222621",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","0","","","","","","","","","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","105","0.0152963671128107","","0.0181644359464627","-0.315187107347719","","","","","","","","0.000956022944550669",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","1","0.0139130434782609","","0.0165217391304348","0.102608695652174","","","","0.115652173913043","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
