"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.61267680089664,0.450468217511945,-8.01982617297711,1.05894914008699e-15
"sloc",0.0347363789180981,0.00896944235910588,3.87274676923849,0.000107615625392374
"AntiSingleton",-30.1776402065044,5956946.10491092,-5.06595824018382e-06,0.999995957950135
"ClassDataShouldBePrivate",-35.074047031465,10337540.6310485,-3.39288117776498e-06,0.999997292872492
"ComplexClass",-0.828220527950939,2.45213222772713,-0.337755247692581,0.735547637092212
"LongParameterList",2.68833226278313,1.16244256396092,2.31265814426382,0.0207414419892755
"AntiSingleton:ClassDataShouldBePrivate",32.7481322579124,15786535.3553096,2.07443441647239e-06,0.999998344840807
"ClassDataShouldBePrivate:ComplexClass",4.09344015509024,14619490.1416942,2.7999883138304e-07,0.999999776593255
"ComplexClass:LongParameterList",-0.364794744017751,3.81571884165247,-0.0956031508494923,0.92383576264982
"(Intercept)",-2.0140444973233,0.0714438577564084,-28.1905899341311,7.62686501402954e-175
"sloc",0.0117190550296424,0.000431445807587509,27.1622874148926,1.81282164534161e-162
"LongParameterList",1.68244352678165,0.102149314624232,16.4704338249426,5.98397056185335e-61
