"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","25","","","0.0119236993431157","0.734666430728327","","0.670653864420197","","0.925937912052429","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","55","0.0854741143802634","","","0.896100585419979","","0.522127988851787","","0.916682583409494","","","","",""
"ComplexClass","91","0.14725788006717","","4.05031516505759e-06","","","0.402872883611685","","0.00168236585108712","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","24","0.179828984944903","","0.0636856103532714","0.000521617753457329","","","","0.0212247747401017","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","115","0.965213090217537","","2.40738418235569e-07","0.000205354991547038","","0.010784507407719","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","3","0.639299451658003","","0.516377893218027","0.224152153372586","","0.88767871858448","","0.23389793085463","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
