"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.8626686032342,0.0937501439599786,19.868434591731,7.63467693586714e-88
"sloc",0.0025910819421283,0.000184093676292567,14.0748014505967,5.42570609166313e-45
"AntiSingleton",0.244873421519982,1.13265201325316,0.216194752364114,0.828835943835603
"ClassDataShouldBePrivate",-0.679710143907544,0.592349478810346,-1.14748162735392,0.251182622161058
"ComplexClass",1.14867714344524,0.386250356643795,2.97391866101126,0.00294023003281288
"LongParameterList",0.469176793871948,0.327551000940204,1.43237783589493,0.152035718145354
"AntiSingleton:ClassDataShouldBePrivate",0.499102770311794,1.49852943813028,0.333061705437382,0.739087705266824
"AntiSingleton:ComplexClass",-1.56242374342681,2.39034594759489,-0.653639170932092,0.513344301602449
"AntiSingleton:LongParameterList",0.993890393343127,2.74036187956886,0.362685819253731,0.71683959406832
"ClassDataShouldBePrivate:ComplexClass",1.42717198680599,1.37434984407141,1.0384342770965,0.299067918419768
"ClassDataShouldBePrivate:LongParameterList",-2.12097004593333,1.40786159906447,-1.50651885621621,0.131934030268854
"ComplexClass:LongParameterList",-0.772791153717792,0.823649948378603,-0.938251930008701,0.348114956859641
"(Intercept)",1.90961335406776,0.0883095149434651,21.6240951531698,1.06587084675538e-103
"sloc",0.00241714973992363,0.000184442077354879,13.1051968975218,3.07463262529585e-39
"ComplexClass",1.04272634395603,0.330117382825444,3.15865324943339,0.00158499951524671
