"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","243","","","0.0224948879319951","0.0454026930293427","","0.00102880658436214","","0.0732550687625438","","","","",""
"Blob_0","264","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","253","0.138914099100183","","","0.0505258543379189","","0.000988142292490119","","0.0736977056301351","","","","",""
"ComplexClass_0","258","0.131434003700384","","0.0211870456103675","","","0.000968992248062015","","0.0726287253741379","","","","",""
"LargeClass_0","264","","","","","","","","","","","","",""
"LazyClass_0","263","0.13363219419143","","0.0207842500664441","0.0486047191919904","","","","0.0721629386226522","","","","",""
"LongMethod_0","264","","","","","","","","","","","","",""
"LongParameterList_0","254","0.132133597397688","","0.0205364479034441","0.0477960000182533","","0.000984251968503937","","","","","","",""
"MessageChains_0","264","","","","","","","","","","","","",""
"RefusedParentBequest_0","264","","","","","","","","","","","","",""
"SpaghettiCode_0","264","","","","","","","","","","","","",""
"SpeculativeGenerality_0","264","","","","","","","","","","","","",""
"SwissArmyKnife_0","264","","","","","","","","","","","","",""
"AntiSingleton_1","21","","","0","0.0833422257792006","","0","","0.0560891023075897","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","11","0","","","0","","0","","0.0303030303030303","","","","",""
"ComplexClass_1","6","0.205882352941176","","0","","","0","","0.0401069518716578","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","1","0","","0","0","","","","0","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","10","0.158333333333333","","0.025","0.0642857142857143","","0","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
