ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
org.apache.empire.DBResource, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,src\empire-db\src\test\java\org\apache\empire\DBResource.java,0,0,0,0
org.apache.empire.commons.AttributesTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,src\empire-db\src\test\java\org\apache\empire\commons\AttributesTest.java,13,0,0,13
org.apache.empire.commons.DateUtils, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146,src\empire-db\src\main\java\org\apache\empire\commons\DateUtils.java,0,0,0,0
org.apache.empire.commons.DateUtilsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,184,src\empire-db\src\test\java\org\apache\empire\commons\DateUtilsTest.java,0,0,0,0
org.apache.empire.commons.ErrorType, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.044444444444444446,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,src\empire-db\src\main\java\org\apache\empire\commons\ErrorType.java,0,0,0,0
org.apache.empire.commons.ErrorTypeTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,src\empire-db\src\test\java\org\apache\empire\commons\ErrorTypeTest.java,0,0,0,0
org.apache.empire.commons.ErrorsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,src\empire-db\src\test\java\org\apache\empire\commons\ErrorsTest.java,0,0,0,0
org.apache.empire.commons.ObjectUtils, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.034482758620689655,0.0,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,311,src\empire-db\src\main\java\org\apache\empire\commons\ObjectUtils.java,0,0,0,0
org.apache.empire.commons.ObjectUtilsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,src\empire-db\src\test\java\org\apache\empire\commons\ObjectUtilsTest.java,0,0,0,0
org.apache.empire.commons.OptionEntry, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,31,src\empire-db\src\main\java\org\apache\empire\commons\OptionEntry.java,0,0,0,0
org.apache.empire.commons.OptionEntryTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,src\empire-db\src\test\java\org\apache\empire\commons\OptionEntryTest.java,0,0,0,0
org.apache.empire.commons.OptionsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,src\empire-db\src\test\java\org\apache\empire\commons\OptionsTest.java,0,0,0,0
org.apache.empire.commons.StringUtilsTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,src\empire-db\src\test\java\org\apache\empire\commons\StringUtilsTest.java,0,0,0,0
org.apache.empire.data.Column, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,src\empire-db\src\main\java\org\apache\empire\data\Column.java,0,0,0,0
org.apache.empire.data.ColumnExpr, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,src\empire-db\src\main\java\org\apache\empire\data\ColumnExpr.java,0,0,0,0
org.apache.empire.data.Record, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,src\empire-db\src\main\java\org\apache\empire\data\Record.java,0,0,0,0
org.apache.empire.data.RecordData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124,src\empire-db\src\main\java\org\apache\empire\data\RecordData.java,0,0,0,0
org.apache.empire.data.bean.BeanClass, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,69,src\empire-db\src\main\java\org\apache\empire\data\bean\BeanClass.java,0,0,0,0
org.apache.empire.data.bean.BeanDomain, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,22,src\empire-db\src\main\java\org\apache\empire\data\bean\BeanDomain.java,0,0,0,0
org.apache.empire.data.bean.BeanProperty, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,106,src\empire-db\src\main\java\org\apache\empire\data\bean\BeanProperty.java,0,0,0,0
org.apache.empire.data.bean.BeanRecordProxy, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,281,src\empire-db\src\main\java\org\apache\empire\data\bean\BeanRecordProxy.java,0,0,0,0
org.apache.empire.db.CompanyDB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,87,src\empire-db\src\test\java\org\apache\empire\db\CompanyDB.java,0,0,0,0
org.apache.empire.db.DBBlobData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,src\empire-db\src\main\java\org\apache\empire\db\DBBlobData.java,0,0,0,0
org.apache.empire.db.DBClobData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,src\empire-db\src\main\java\org\apache\empire\db\DBClobData.java,0,0,0,0
org.apache.empire.db.DBCommandTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,src\empire-db\src\test\java\org\apache\empire\db\DBCommandTest.java,0,0,0,0
org.apache.empire.db.DBExpressionIndex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,src\empire-db\src\main\java\org\apache\empire\db\DBExpressionIndex.java,0,0,3,6
org.apache.empire.db.DBIndex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,67,src\empire-db\src\main\java\org\apache\empire\db\DBIndex.java,0,0,0,0
org.apache.empire.db.DBObject, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,src\empire-db\src\main\java\org\apache\empire\db\DBObject.java,0,0,0,0
org.apache.empire.db.DBRecordData, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.058823529411764705,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,140,src\empire-db\src\main\java\org\apache\empire\db\DBRecordData.java,0,0,0,0
org.apache.empire.db.DBTableColumn, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,src\empire-db\src\main\java\org\apache\empire\db\DBTableColumn.java,0,0,0,0
org.apache.empire.db.DBTools, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,src\empire-db\src\test\java\org\apache\empire\db\DBTools.java,0,0,0,0
org.apache.empire.db.DBXmlDictionary, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,src\empire-db\src\main\java\org\apache\empire\db\DBXmlDictionary.java,0,0,0,0
org.apache.empire.db.IntegerTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,src\empire-db\src\test\java\org\apache\empire\db\IntegerTest.java,0,0,0,0
org.apache.empire.db.MockDriver, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,src\empire-db\src\test\java\org\apache\empire\db\MockDriver.java,0,0,0,0
org.apache.empire.db.PreparedStatementTest, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,src\empire-db\src\test\java\org\apache\empire\db\PreparedStatementTest.java,0,0,0,0
org.apache.empire.db.SerializeTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,67,src\empire-db\src\test\java\org\apache\empire\db\SerializeTest.java,0,0,0,0
org.apache.empire.db.codegen.CodeGenConfig, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,src\empire-db-codegen\src\main\java\org\apache\empire\db\codegen\CodeGenConfig.java,0,0,0,0
org.apache.empire.db.codegen.CodeGenParser, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,318,src\empire-db-codegen\src\main\java\org\apache\empire\db\codegen\CodeGenParser.java,0,17,1,19
org.apache.empire.db.codegen.CodeGenParserTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,src\empire-db-codegen\src\test\java\org\apache\empire\db\codegen\CodeGenParserTest.java,0,0,0,0
org.apache.empire.db.codegen.CodeGenTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,src\empire-db-codegen\src\test\java\org\apache\empire\db\codegen\CodeGenTest.java,0,0,0,0
org.apache.empire.db.codegen.CodeGenWriter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185,src\empire-db-codegen\src\main\java\org\apache\empire\db\codegen\CodeGenWriter.java,0,0,0,0
