"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","9","","","-0.0450070323488045","0.0981012658227848","","0.0288326300984529","","0.060478199718706","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","11","-0.0425593514765489","","","0.0987261146496815","","0.0492182976259409","","-0.00665894614939202","","","","",""
"ComplexClass","11","0.0509554140127389","","0.0732484076433121","","","-0.060799073537927","","-0.0833815865662999","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","44","-0.0210287932707861","","0.00452927855063087","0.0858136525396312","","","","0.180443222258169","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","27","0.0118071091225454","","-0.00360427541635595","-0.0504598558289833","","0.067735520755655","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
