"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","316","","","0.0296282464554341","0.0247086304357906","","0.065388063520287","","0.0776062558413274","","","","",""
"Blob_0","325","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","314","0.0212359281384482","","","0.0248660102474835","","0.0658045480013079","","0.077304384859425","","","","",""
"ComplexClass_0","314","0.0220321064823973","","0.0314093180889082","","","0.0619828919503525","","0.0771938045338765","","","","",""
"LargeClass_0","325","","","","","","","","","","","","",""
"LazyClass_0","281","0.0217957408348867","","0.0322741908151161","0.0274767640426003","","","","0.0887424210822787","","","","",""
"LongMethod_0","325","","","","","","","","","","","","",""
"LongParameterList_0","298","0.019859333676083","","0.0293671636537117","0.024513924295074","","0.0667649711602148","","","","","","",""
"MessageChains_0","325","","","","","","","","","","","","",""
"RefusedParentBequest_0","325","","","","","","","","","","","","",""
"SpaghettiCode_0","325","","","","","","","","","","","","",""
"SpeculativeGenerality_0","325","","","","","","","","","","","","",""
"SwissArmyKnife_0","325","","","","","","","","","","","","",""
"AntiSingleton_1","9","","","0.0555555555555556","0","","0.0333333333333333","","0.0555555555555556","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","11","0.0227272727272727","","","0","","0.0272727272727273","","0.0681818181818182","","","","",""
"ComplexClass_1","11","0","","0","","","0.136363636363636","","0.0713383838383838","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","44","0.0180335968379447","","0.0180335968379447","0.00197628458498024","","","","0.00197628458498024","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","27","0.037037037037037","","0.0411522633744856","0.0186213991769547","","0.0395061728395062","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
