class,SLOC
org.apache.etch.compiler.EtchHelper,403
org.apache.etch.compiler.ast.Constant,224
org.apache.etch.compiler.ast.Enumx,78
org.apache.etch.compiler.ast.Except,144
org.apache.etch.compiler.ast.Item,42
org.apache.etch.compiler.ast.Message,236
org.apache.etch.compiler.ast.Module,53
org.apache.etch.compiler.ast.Name,18
org.apache.etch.compiler.ast.Opt,35
org.apache.etch.compiler.ast.ParamList,80
org.apache.etch.compiler.ast.Parameter,50
org.apache.etch.compiler.ast.Service,339
org.apache.etch.compiler.ast.Struct,139
org.apache.etch.compiler.ast.Thrown,52
org.apache.etch.compiler.ast.Named,130
org.apache.etch.compiler.CmdLineOptions,60
org.apache.etch.tests.MainFooClient,37
org.apache.etch.bindings.java.util.StrStrHashMap,11
org.apache.etch.tests.ImplFooClient,33
org.apache.etch.util.Assertion,16
org.apache.etch.util.AssertionException,8
org.apache.etch.tests.MainTypesListener,14
org.apache.etch.tests.ImplTypesServer,32
org.apache.etch.bindings.java.support.TestValidator_object,226
org.apache.etch.bindings.java.msg.StructValue,63
org.apache.etch.bindings.java.msg.Type,162
org.apache.etch.bindings.java.support.TypeValidator,62
org.apache.etch.bindings.java.support.DummyValueFactory,81
org.apache.etch.bindings.java.support.Validator_object,22
org.apache.etch.bindings.java.transport.fmt.binary.BinaryTaggedDataOutput,188
org.apache.etch.bindings.java.msg.Field,11
org.apache.etch.bindings.java.msg.Message,47
org.apache.etch.bindings.java.support.Validator_int,47
org.apache.etch.bindings.java.support.Validator_string,22
org.apache.etch.bindings.java.transport.ArrayValue,73
org.apache.etch.util.FlexBuffer,351
org.apache.etch.util.URL,775
org.apache.etch.bindings.java.transport.fmt.binary.BinaryTaggedData,139
org.apache.etch.bindings.java.msg.IdName,44
org.apache.etch.bindings.java.transport.fmt.binary.Validator_none,27
org.apache.etch.tests.TestTest1DotJava,558
org.apache.etch.tests.FakeTest1,304
org.apache.etch.examples.chat.MainChatListener,29
org.apache.etch.util.Log,881
org.apache.etch.examples.chat.ImplChatServer,129
org.apache.etch.bindings.java.msg.TestStructValue,254
org.apache.etch.bindings.java.support.Validator_boolean,22
org.apache.etch.util.cmd.CommandParser,471
org.apache.etch.util.CharIterator,19
