Class,same,uchangedLines,deleted,added,changed,all, differenceSection
binding-c\compiler\src\main\java\org\apache\etch\bindings\c\compiler\Compiler.java,1830,0,0,0,0,0,0
binding-c\compiler\src\main\java\org\apache\etch\bindings\c\compiler\IncludeTreeWalker.java,184,0,0,0,0,0,0
binding-cpp\compiler\src\main\java\org\apache\etch\bindings\cpp\compiler\Compiler.java,1715,0,0,0,0,0,0
binding-cpp\compiler\src\main\java\org\apache\etch\bindings\cpp\compiler\IncludeTreeWalker.java,184,0,0,0,0,0,0
binding-csharp\compiler\src\main\java\org\apache\etch\bindings\csharp\compiler\Compiler.java,1202,0,0,0,0,0,0
binding-go\compiler\src\main\java\org\apache\etch\bindings\go\compiler\Compiler.java,1178,0,0,0,0,0,0
binding-go\compiler\src\main\java\org\apache\etch\bindings\go\compiler\CompilerVersion.java,0,28,5,0,0,5,3
binding-java\compiler\src\main\java\org\apache\etch\bindings\java\compiler\Compiler.java,1170,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\AsyncMode.java,34,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\ComboValidator.java,116,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\Direction.java,36,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\Field.java,48,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\FieldMap.java,33,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\IdName.java,107,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\IdNameMap.java,149,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\ImportExportHelper.java,43,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\Message.java,137,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\StructValue.java,159,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\Type.java,371,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\TypeMap.java,33,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\Validator.java,71,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\msg\ValueFactory.java,199,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\_Etch_AuthException.java,47,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\_Etch_RuntimeException.java,76,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\AuthExceptionSerializer.java,73,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Class2TypeMap.java,96,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\DefaultServerFactory.java,103,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\DefaultValueFactory.java,433,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\DeliveryService.java,54,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\DummyValueFactory.java,133,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\FreePool.java,97,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Mailbox.java,165,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\NullPool.java,39,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\ObjSession.java,88,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Pool.java,51,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\QueuedPool.java,66,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\RemoteBase.java,258,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\RuntimeExceptionSerializer.java,80,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\ServerFactory.java,50,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\StubBase.java,205,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\StubHelper.java,52,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\TransportFactory.java,305,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\TransportHelper.java,75,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\TypeValidator.java,152,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_boolean.java,65,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_byte.java,111,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_custom.java,133,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_double.java,65,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_float.java,65,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_int.java,99,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_long.java,91,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_object.java,65,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_RuntimeException.java,68,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_short.java,105,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_string.java,65,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_StructValue.java,87,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\support\Validator_void.java,72,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\filters\AbstractMessageFilter.java,145,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\filters\KeepAlive.java,349,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\filters\Logger.java,204,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\filters\PwAuth.java,383,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\binary\BinaryTaggedData.java,236,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\binary\BinaryTaggedDataFormatFactory.java,44,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\binary\BinaryTaggedDataInput.java,402,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\binary\BinaryTaggedDataOutput.java,330,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\binary\Validator_none.java,69,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\xml\XmlTaggedData.java,127,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\xml\XmlTaggedDataInput.java,294,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\xml\XmlTaggedDataOutput.java,272,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\xml\XmlTags.java,130,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\TaggedData.java,218,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\fmt\TypeCode.java,199,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\ArrayValue.java,173,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\DefaultDeliveryService.java,221,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\FormatFactory.java,117,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\MailboxManager.java,60,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\Messagizer.java,208,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\PlainMailbox.java,226,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\PlainMailboxManager.java,285,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\SessionMessage.java,42,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\TaggedDataInput.java,41,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\TaggedDataOutput.java,41,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\Tcp2TransportFactory.java,191,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\TcpTransportFactory.java,200,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\TransportMessage.java,41,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\UdpTransportFactory.java,170,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\transport\UnwantedMessage.java,54,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\DateSerializer.java,82,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\ListSerializer.java,96,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\MapSerializer.java,112,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\SetSerializer.java,98,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\StrIntHashMap.java,48,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\StrIntHashMapSerializer.java,104,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\StrStrHashMap.java,55,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\StrStrHashMapSerializer.java,104,0,0,0,0,0,0
binding-java\runtime\src\main\java\org\apache\etch\bindings\java\util\URLSerializer.java,81,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestComboValidator.java,155,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestField.java,63,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestFieldMap.java,40,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestIdName.java,111,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestIdNameMap.java,203,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestMessage.java,171,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestStructValue.java,363,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestType.java,104,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\msg\TestTypeMap.java,40,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\Test_Etch_AuthException.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\Test_Etch_RuntimeException.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestAuthExceptionSerializer.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestClass2TypeMap.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestDefaultServerFactory.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestDefaultValueFactory.java,445,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestDummyValueFactory.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestFreePool.java,323,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestNullPool.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestQueuedPool.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestRemoteBase.java,484,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestRuntimeExceptionSerializer.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestStubBase.java,378,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestStubHelper.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestTransportFactory.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestTransportHelper.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestTypeValidator.java,121,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_boolean.java,225,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_byte.java,272,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_custom.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_double.java,228,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_float.java,228,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_int.java,292,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_long.java,296,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_object.java,340,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_RuntimeException.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_short.java,285,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_string.java,227,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_StructValue.java,229,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidator_void.java,76,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\support\TestValidators.java,236,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\filters\TestKeepAlive.java,413,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\filters\TestLogger.java,276,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\filters\TestPwAuth.java,529,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\fmt\binary\TestBinaryTaggedDataInOut.java,908,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestArrayValue.java,108,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestDefaultDeliveryService.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestFormatFactory.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestMessagizer.java,508,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestPlainMailbox.java,711,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestPlainMailboxManager.java,698,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestTcp2TransportFactory.java,34,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestTcpTransportFactory.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\transport\TestUnwantedMessage.java,38,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\util\TestDateSerializer.java,68,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\util\TestStrIntHashMapSerializer.java,130,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\util\TestStrStrHashMapSerializer.java,129,0,0,0,0,0,0
binding-java\runtime\src\test\java\org\apache\etch\bindings\java\util\TestURLSerializer.java,67,0,0,0,0,0,0
binding-python\compiler\src\main\java\org\apache\etch\bindings\python\compiler\Compiler.java,1166,0,0,0,0,0,0
binding-python\compiler\src\main\java\org\apache\etch\bindings\python\compiler\CompilerVersion.java,33,0,0,0,0,0,0
binding-xml\compiler\src\main\java\org\apache\etch\bindings\xml\compiler\Compiler.java,635,0,0,0,0,0,0
binding-xml\compiler\src\main\java\org\apache\etch\bindings\xml\compiler\CompilerVersion.java,0,28,5,0,0,5,3
compiler\src\main\java\org\apache\etch\compiler\ast\AbstractTreeWalker.java,134,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\AsyncReceiverMode.java,51,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Builtin.java,119,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Constant.java,313,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Enumx.java,151,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Except.java,242,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Extern.java,166,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Item.java,87,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Message.java,489,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\MessageDirection.java,42,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Mixin.java,93,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Module.java,121,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\MsgDirHelper.java,43,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Name.java,66,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\Named.java,308,0,0,0,0,0,0
compiler\src\main\java\org\apache\etch\compiler\ast\NameList.java,112,0,0,0,0,0,0
