Class,same,uchangedLines,deleted,added,changed,all, differenceSection
flink-clients\src\main\java\org\apache\flink\client\cli\CancelOptions.java,37,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\CliArgsException.java,30,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\CliFrontendParser.java,284,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\CommandLineOptions.java,57,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\InfoOptions.java,30,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\ListOptions.java,46,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\ProgramOptions.java,97,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\cli\RunOptions.java,30,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\program\Client.java,372,40,16,56,17,106,37
flink-clients\src\main\java\org\apache\flink\client\program\ContextEnvironment.java,145,0,0,2,1,4,2
flink-clients\src\main\java\org\apache\flink\client\program\JobWithJars.java,121,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\program\PackagedProgram.java,735,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\program\ProgramInvocationException.java,63,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\GUIServletStub.java,169,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\JobsServlet.java,212,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\JobSubmissionServlet.java,492,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\PactJobJSONServlet.java,161,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\PlanDisplayServlet.java,144,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\web\WebInterfaceServer.java,271,0,0,0,0,0,0
flink-clients\src\main\java\org\apache\flink\client\CliFrontend.java,988,7,1,1,3,8,5
flink-clients\src\main\java\org\apache\flink\client\FlinkYarnSessionCli.java,453,1,0,7,3,13,8
flink-clients\src\main\java\org\apache\flink\client\LocalExecutor.java,266,14,6,1,9,25,7
flink-clients\src\main\java\org\apache\flink\client\RemoteExecutor.java,107,31,14,16,0,30,6
flink-clients\src\main\java\org\apache\flink\client\WebFrontend.java,79,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\program\ClientConnectionTest.java,157,0,0,0,2,4,2
flink-clients\src\test\java\org\apache\flink\client\program\ClientHostnameResolutionTest.java,0,32,0,42,0,42,11
flink-clients\src\test\java\org\apache\flink\client\program\ClientTest.java,236,0,1,7,1,10,3
flink-clients\src\test\java\org\apache\flink\client\program\ExecutionPlanAfterExecutionTest.java,78,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\program\ExecutionPlanCreationTest.java,95,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\program\PackagedProgramTest.java,61,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\testjar\JobWithExternalDependency.java,34,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\testjar\WordCount.java,173,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\CliFrontendAddressConfigurationTest.java,180,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\CliFrontendInfoTest.java,134,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\CliFrontendListCancelTest.java,180,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\CliFrontendPackageProgramTest.java,307,2,4,2,6,18,7
flink-clients\src\test\java\org\apache\flink\client\CliFrontendRunTest.java,101,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\CliFrontendTestUtils.java,121,0,0,0,0,0,0
flink-clients\src\test\java\org\apache\flink\client\RemoteExecutorHostnameResolutionTest.java,0,29,0,49,0,49,11
flink-contrib\src\main\java\org\apache\flink\contrib\streaming\CollectSink.java,0,61,0,91,0,91,16
flink-contrib\src\main\java\org\apache\flink\contrib\streaming\DataStreamIterator.java,0,44,0,90,0,90,14
flink-contrib\src\main\java\org\apache\flink\contrib\streaming\DataStreamUtils.java,0,33,0,53,0,53,12
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\io\SimpleTweetInputFormat.java,0,37,0,56,0,56,19
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\io\TweetHandler.java,0,107,0,640,0,640,72
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\places\Attributes.java,0,48,0,65,0,65,30
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\places\BoundingBox.java,0,36,0,24,0,24,14
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\places\Places.java,0,60,0,70,0,70,32
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\Entities.java,0,43,0,47,0,47,22
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\HashTags.java,0,33,0,25,0,25,11
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\Media.java,0,56,0,87,0,87,36
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\Size.java,0,35,0,29,0,29,14
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\Symbol.java,0,31,0,21,0,21,10
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\URL.java,0,36,0,34,0,34,15
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\entities\UserMention.java,0,39,0,41,0,41,19
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\Contributors.java,0,41,0,37,0,37,18
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\Coordinates.java,0,32,0,24,0,24,11
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\CurrentUserRetweet.java,0,31,0,24,0,24,11
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\tweet\Tweet.java,0,116,0,230,0,230,91
flink-contrib\src\main\java\org\apache\flink\contrib\tweetinputformat\model\User\Users.java,0,151,0,328,0,328,128
flink-contrib\src\test\java\org\apache\flink\contrib\streaming\CollectITCase.java,0,29,0,31,0,31,9
flink-contrib\src\test\java\org\apache\flink\contrib\tweetinputformat\SimpleTweetInputFormatTest.java,0,41,0,57,0,57,20
flink-core\src\main\java\org\apache\flink\api\common\accumulators\Accumulator.java,64,22,5,0,0,5,3
flink-core\src\main\java\org\apache\flink\api\common\accumulators\AccumulatorHelper.java,118,8,0,14,7,28,8
flink-core\src\main\java\org\apache\flink\api\common\accumulators\DoubleCounter.java,56,6,9,0,4,17,6
flink-core\src\main\java\org\apache\flink\api\common\accumulators\Histogram.java,75,9,19,0,1,21,5
flink-core\src\main\java\org\apache\flink\api\common\accumulators\IntCounter.java,57,5,9,0,4,17,6
flink-core\src\main\java\org\apache\flink\api\common\accumulators\ListAccumulator.java,56,5,29,0,7,43,8
flink-core\src\main\java\org\apache\flink\api\common\accumulators\LongCounter.java,55,6,9,0,5,19,6
flink-core\src\main\java\org\apache\flink\api\common\accumulators\SerializedListAccumulator.java,0,40,0,62,0,62,14
flink-core\src\main\java\org\apache\flink\api\common\accumulators\SimpleAccumulator.java,27,1,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\Aggregator.java,98,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\AggregatorRegistry.java,98,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\AggregatorWithName.java,60,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\ConvergenceCriterion.java,35,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\DoubleSumAggregator.java,57,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\DoubleZeroConvergence.java,41,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\LongSumAggregator.java,54,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\aggregators\LongZeroConvergence.java,41,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\cache\DistributedCache.java,66,11,10,30,14,68,15
flink-core\src\main\java\org\apache\flink\api\common\distributions\DataDistribution.java,59,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\distributions\SimpleDistribution.java,180,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\distributions\SimpleIntegerDistribution.java,158,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\distributions\UniformDoubleDistribution.java,64,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\distributions\UniformIntegerDistribution.java,65,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\functions\util\AbstractRuntimeUDFContext.java,148,2,4,14,10,38,10
flink-core\src\main\java\org\apache\flink\api\common\functions\util\CopyingIterator.java,63,0,0,0,0,0,0
flink-core\src\main\java\org\apache\flink\api\common\functions\util\CopyingListCollector.java,43,0,0,0,0,0,0
