"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton","5","","","0.0231023102310231","-0.296369636963696","","0.0066006600660066","","0.0858085808580858","","","","",""
"Blob","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate","5","0.0363036303630363","","","-0.0442244224422442","","0.0066006600660066","","0.0858085808580858","","","","",""
"ComplexClass","21","-0.167247386759582","","-0.0263812842210055","","","0.00696864111498258","","-0.159780985564958","","","","",""
"LargeClass","0","","","","","","","","","","","","",""
"LazyClass","8","0.0320833333333333","","0.0204166666666667","0.128333333333333","","","","0.0758333333333333","","","","",""
"LongMethod","0","","","","","","","","","","","","",""
"LongParameterList","9","0.0367892976588629","","0.0234113712374582","-0.313266443701226","","0.00668896321070234","","","","","","",""
"MessageChains","0","","","","","","","","","","","","",""
"RefusedParentBequest","0","","","","","","","","","","","","",""
"SpaghettiCode","0","","","","","","","","","","","","",""
"SpeculativeGenerality","0","","","","","","","","","","","","",""
"SwissArmyKnife","0","","","","","","","","","","","","",""
