Class,same,uchangedLines,deleted,added,changed,all, differenceSection
etc\test-whitespace\AbstractWrappingModule.java,0,35,62,0,0,62,19
etc\test-whitespace\XPathTransformer.java,0,192,217,0,0,217,36
main\java\org\apache\forrest\conf\AntProperties.java,162,2,1,2,3,9,3
main\java\org\apache\forrest\conf\AntPropertiesModule.java,105,0,0,0,0,0,0
main\java\org\apache\forrest\conf\ForrestConfModule.java,375,0,0,0,0,0,0
main\java\org\apache\forrest\conf\ForrestConfUtils.java,135,1,0,3,0,3,1
main\java\org\apache\forrest\conf\SkinconfTransformer.java,160,0,0,0,0,0,0
main\java\org\apache\forrest\generation\ModuleGenerator.java,0,59,0,109,0,109,22
main\java\org\apache\forrest\locationmap\lm\AbstractNode.java,121,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\lm\ActNode.java,145,38,2,1,2,7,4
main\java\org\apache\forrest\locationmap\lm\LocationMap.java,324,0,4,1,0,5,5
main\java\org\apache\forrest\locationmap\lm\LocationNode.java,68,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\lm\LocatorNode.java,151,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\lm\MatchNode.java,148,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\lm\MountNode.java,166,6,1,11,2,16,4
main\java\org\apache\forrest\locationmap\lm\SelectNode.java,134,16,0,0,0,0,0
main\java\org\apache\forrest\locationmap\source\impl\LocationmapSourceFactory.java,101,9,0,7,1,9,4
main\java\org\apache\forrest\locationmap\AbstractWrappingModule.java,96,9,0,0,0,0,0
main\java\org\apache\forrest\locationmap\LocationMapModule.java,217,39,20,20,14,68,19
main\java\org\apache\forrest\locationmap\RegexpLocationMapMatcher.java,62,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\WildcardLocationMapHintMatcher.java,35,0,0,0,0,0,0
main\java\org\apache\forrest\locationmap\WildcardLocationMapMatcher.java,63,0,0,0,0,0,0
main\java\org\apache\forrest\log\ForrestLogTargetFactory.java,52,0,0,0,1,2,1
main\java\org\apache\forrest\sourceexists\SourceExistsSelector.java,104,0,0,4,0,4,2
main\java\org\apache\forrest\sourcetype\DocDeclRule.java,40,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\DocumentElementRule.java,52,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\ProcessingInstructionRule.java,48,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\SourceInfo.java,101,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\SourceType.java,75,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\SourceTypeAction.java,136,0,0,7,0,7,2
main\java\org\apache\forrest\sourcetype\SourceTypeRule.java,30,0,0,0,0,0,0
main\java\org\apache\forrest\sourcetype\XmlSchemaRule.java,53,0,0,0,0,0,0
main\java\org\apache\forrest\util\IdGeneratorTransformer.java,268,0,2,1,2,7,3
main\java\org\apache\forrest\util\XPathTransformer.java,405,0,2,1,2,7,3
main\java\org\apache\forrest\xni\XNIConfigurableFileGenerator.java,207,0,0,0,0,0,0
main\tasks\org\apache\forrest\UncopiedFileSelector.java,134,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\BaseAction.java,76,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\ExecuteAction.java,95,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\LogoutAction.java,43,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\ViewLogBodyAction.java,76,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\ViewLogFrameAction.java,49,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\ViewLogHeaderAction.java,52,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\action\ViewSummaryAction.java,93,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\dto\ProjectDTO.java,156,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\form\BaseDynaActionForm.java,47,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\form\LoginForm.java,41,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\util\Executor.java,123,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\util\Project.java,191,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\Config.java,114,0,0,0,0,0,0
tools\forrestbot\webapp\src\java\org\apache\forrest\forrestbot\webapp\Constants.java,80,0,0,0,0,0,0
