ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs
com.yammer.metrics.core.NoOpCounter, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.yammer.metrics.core.NoOpExecutorService, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.yammer.metrics.core.NoOpGuage, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
com.yammer.metrics.core.NoOpHistogram, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.yammer.metrics.core.NoOpMeter, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
com.yammer.metrics.core.NoOpTimer, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.giraph.GiraphRunner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestAutoCheckpoint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestGraphPartitioner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestManualCheckpoint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestMaxSuperstep, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestMutateGraph, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestNotEnoughMapTasks, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.TestPartitionContext, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.Aggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.AggregatorUsage, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.AggregatorWrapper, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.BasicAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.BooleanAndAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.BooleanOrAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.BooleanOverwriteAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.DoubleMaxAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.DoubleMinAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.DoubleOverwriteAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.DoubleProductAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.DoubleSumAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.FloatMaxAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.FloatMinAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.FloatOverwriteAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.FloatProductAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.FloatSumAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.IntMaxAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.IntMinAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.IntOverwriteAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.IntProductAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.IntSumAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.LongMaxAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.LongMinAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.LongOverwriteAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.LongProductAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.LongSumAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TestBooleanAggregators, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TestDoubleAggregators, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TestFloatAggregators, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TestIntAggregators, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TestLongAggregators, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.aggregators.TextAppendAggregator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.AggregatorsBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.BenchmarkOption, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.giraph.benchmark.GiraphBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.PageRankBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.PageRankVertex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.RandomMessageBenchmark, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.giraph.benchmark.ShortestPathsBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.ShortestPathsVertex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.WeightedPageRankBenchmark, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.benchmark.WeightedPageRankVertex, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.BspInputFormat, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.BspInputSplit, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.BspOutputFormat, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.BspRecordReader, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.BspRecordWriter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.CentralizedService, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.CentralizedServiceMaster, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.CentralizedServiceWorker, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.bsp.ImmutableOutputCommitter, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.combiner.Combiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.combiner.DoubleSumCombiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.combiner.FloatSumCombiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.combiner.MinimumDoubleCombiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.combiner.MinimumIntCombiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.combiner.SimpleSumCombiner, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.ConnectionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.IncreasingBitSetTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.MasterClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.MasterServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.RequestFailureTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.SaslConnectionTest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.SendEdgeCache, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.SendMessageCache, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.WorkerClient, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.WorkerClientRequestProcessor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.WorkerServer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.aggregators.AggregatedValueOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.aggregators.AggregatorOutputStream, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.aggregators.AggregatorUtils, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.aggregators.CountingOutputStream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.aggregators.WorkerAggregatorRequestProcessor, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.BasicMessageStore, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.FlushableMessageStore, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.MessageStore, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.MessageStoreByPartition, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.MessageStoreFactory, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.messages.SequentialFileMessageStore, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.giraph.comm.netty.ByteCounter, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.ChannelRotater, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.NettyMasterClient, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.NettyMasterServer, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.NettyServer, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2
org.apache.giraph.comm.netty.NettyWorkerAggregatorRequestProcessor, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.WrappedAdaptiveReceiveBufferSizePredictorFactory, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.AddressRequestIdGenerator, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.AuthorizeServerHandler, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.ClientRequestId, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.MasterRequestServerHandler, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.RequestDecoder, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.RequestEncoder, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.RequestInfo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.RequestServerHandler, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.ResponseClientHandler, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.ResponseEncoder, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.SaslClientHandler, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.netty.handler.WorkerRequestReservedMap, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.netty.handler.WorkerRequestServerHandler, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
org.apache.giraph.comm.requests.ByteArrayRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.ByteArrayWithSenderTaskIdRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.MasterRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SaslCompleteRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SaslTokenMessageRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendAggregatorsToMasterRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendAggregatorsToOwnerRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendAggregatorsToWorkerRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendPartitionCurrentMessagesRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendVertexRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendWorkerAggregatorsRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendWorkerDataRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendWorkerEdgesRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
org.apache.giraph.comm.requests.SendWorkerMessagesRequest, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
