ClassName,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,NumOfAPs,AntiSingleton,Blob,ClassDataShouldBePrivate,ComplexClass,LargeClass,LazyClass,LongMethod,LongParameterList,MessageChains,RefusedParentBequest,SpaghettiCode,SpeculativeGenerality,SwissArmyKnife,LOC,name,deleted,added,changed,all
com.yammer.metrics.core.NoOpCounter, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,giraph-core\src\main\java\com\yammer\metrics\core\NoOpCounter.java,0,0,0,0
com.yammer.metrics.core.NoOpExecutorService, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,giraph-core\src\main\java\com\yammer\metrics\core\NoOpExecutorService.java,0,0,0,0
com.yammer.metrics.core.NoOpGuage, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,giraph-core\src\main\java\com\yammer\metrics\core\NoOpGuage.java,0,0,0,0
com.yammer.metrics.core.NoOpHistogram, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,giraph-core\src\main\java\com\yammer\metrics\core\NoOpHistogram.java,0,0,0,0
com.yammer.metrics.core.NoOpMeter, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,giraph-core\src\main\java\com\yammer\metrics\core\NoOpMeter.java,0,0,0,0
com.yammer.metrics.core.NoOpTimer, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,giraph-core\src\main\java\com\yammer\metrics\core\NoOpTimer.java,0,0,0,0
org.apache.giraph.GiraphRunner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,giraph-core\src\main\java\org\apache\giraph\GiraphRunner.java,0,0,1,2
org.apache.giraph.TestAutoCheckpoint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,giraph-examples\src\test\java\org\apache\giraph\TestAutoCheckpoint.java,0,0,8,16
org.apache.giraph.TestGraphPartitioner, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,giraph-examples\src\test\java\org\apache\giraph\TestGraphPartitioner.java,2,2,29,62
org.apache.giraph.TestManualCheckpoint, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,giraph-examples\src\test\java\org\apache\giraph\TestManualCheckpoint.java,0,0,14,28
