class,SLOC
org.apache.gora.mongodb.store.TestMongoMappingBuilder,78
org.apache.gora.examples.generated.WebPage,373
org.apache.gora.mongodb.store.MongoMapping,88
org.apache.gora.mongodb.store.MongoMappingBuilder,92
org.apache.gora.mongodb.store.MongoStore,643
org.apache.gora.util.ClassLoadingUtils,30
org.apache.gora.accumulo.util.FixedByteArrayOutputStream,15
org.apache.gora.persistency.ws.impl.BeanFactoryWSImpl,63
org.apache.gora.util.ReflectionUtils,52
org.apache.gora.shims.hadoop2.TestHadoopShim2,7
org.apache.gora.shims.hadoop.HadoopShim,8
org.apache.gora.shims.hadoop.HadoopShimFactory,38
org.apache.gora.shims.hadoop2.HadoopShim2,12
org.apache.gora.examples.generated.TokenDatum,137
org.apache.gora.persistency.impl.PersistentBase,158
org.apache.gora.sql.statement.HSqlInsertUpdateStatement,86
org.apache.gora.sql.store.Column,85
org.apache.gora.sql.store.SqlMapping,37
org.apache.gora.sql.store.SqlStore,134
org.apache.gora.sql.statement.InsertUpdateStatement,26
org.apache.gora.mapreduce.PersistentSerialization,15
org.apache.gora.mapreduce.PersistentDeserializer,27
org.apache.gora.mapreduce.PersistentSerializer,20
org.apache.gora.solr.store.TestSolrStore,22
org.apache.gora.examples.generated.Employee,371
org.apache.gora.solr.GoraSolrTestDriver,49
org.apache.gora.store.DataStoreFactory,221
org.apache.gora.store.DataStoreTestBase,241
org.apache.gora.solr.store.SolrStore,536
org.apache.gora.sql.query.SqlResult,34
org.apache.gora.query.impl.ResultBase,93
org.apache.gora.sql.util.SqlUtils,16
org.apache.gora.sql.statement.SelectStatement,145
org.apache.gora.util.StringUtils,70
org.apache.gora.sql.statement.Where,37
org.apache.gora.accumulo.query.AccumuloQuery,8
org.apache.gora.query.impl.QueryBase,226
org.apache.gora.cassandra.query.CassandraColumn,53
org.apache.gora.cassandra.serializers.AvroSerializerUtil,51
org.apache.gora.cassandra.serializers.GoraSerializerTypeInferer,170
org.apache.gora.memory.store.MemStoreTest,18
org.apache.gora.memory.store.MemStore,130
org.apache.gora.avro.query.AvroQuery,8
org.apache.gora.avro.store.AvroStore,168
org.apache.gora.sql.store.TestSqlStore,69
org.apache.gora.sql.GoraSqlTestDriver,65
org.apache.gora.goraci.Delete,18
org.apache.gora.goraci.generated.CINode,230
org.apache.gora.shims.hadoop.HadoopShimTest,12
org.apache.gora.util.OperationNotSupportedException,15
org.apache.gora.mapreduce.GoraMapReduceUtils,35
org.apache.gora.mapreduce.StringSerialization,42
org.apache.gora.sql.store.SqlTypeInterface,174
org.apache.gora.avro.query.DataFileAvroResult,46
org.apache.gora.filter.MapFieldValueFilter,120
org.apache.gora.filter.FilterOp,8
org.apache.gora.tutorial.log.generated.MetricDatum,230
org.apache.gora.persistency.impl.BeanFactoryImpl,49
org.apache.gora.avro.store.DataFileAvroStore,82
org.apache.gora.avro.mapreduce.FsInput,23
org.apache.gora.query.impl.FileSplitPartitionQuery,42
org.apache.gora.hbase.util.TestHBaseByteInterface,57
org.apache.gora.examples.generated.Metadata,184
org.apache.gora.hbase.util.HBaseByteInterface,141
org.apache.gora.accumulo.store.AccumuloMapping,7
org.apache.gora.mongodb.filters.MongoFilterUtil,44
org.apache.gora.filter.TestMapFieldValueFilter,52
org.apache.gora.query.impl.PartitionQueryImpl,110
org.apache.gora.store.impl.DataStoreBase,171
org.apache.gora.util.IOUtils,308
org.apache.gora.store.WSDataStoreTestBase,188
org.apache.gora.GoraTestDriver,53
org.apache.gora.store.DataStoreTestUtil,834
org.apache.gora.hbase.util.BaseFactory,11
org.apache.gora.hbase.util.HBaseFilterUtil,38
org.apache.gora.mongodb.mapreduce.TestMongoStoreWordCount,21
org.apache.gora.mapreduce.MapReduceTestUtils,49
org.apache.gora.mongodb.mapreduce.GoraMongoMapredTest,11
org.apache.gora.store.ws.impl.WSDataStoreBase,73
org.apache.gora.store.ws.impl.WSDataStoreFactory,216
org.apache.gora.hbase.mapreduce.TestHBaseStoreWordCount,22
org.apache.gora.hbase.store.HBaseStore,640
org.apache.gora.hbase.util.HBaseClusterSingleton,93
org.apache.gora.query.ws.impl.QueryWSBase,152
org.apache.gora.util.GoraException,15
org.apache.gora.dynamodb.store.DynamoDBMapping,113
org.apache.gora.mapreduce.TestPersistentSerialization,52
org.apache.gora.examples.WebPageDataCreator,108
org.apache.gora.util.TestIOUtils,175
org.apache.gora.mapreduce.GoraRecordWriter,36
org.apache.gora.mapreduce.GoraRecordCounter,19
org.apache.gora.sql.statement.MySqlInsertUpdateStatement,59
org.apache.gora.mapreduce.GoraMapper,75
org.apache.gora.mapreduce.GoraInputFormat,79
org.apache.gora.util.AvroUtils,63
org.apache.gora.util.WritableUtils,24
org.apache.gora.compiler.GoraCompiler,193
org.apache.gora.cassandra.query.CassandraQuery,30
org.apache.gora.dynamodb.query.DynamoDBKey,16
org.apache.gora.sql.statement.InsertStatement,53
org.apache.gora.util.TestWritableUtils,15
org.apache.gora.dynamodb.query.DynamoDBQuery,183
org.apache.gora.mongodb.filters.DefaultFactoryTest,86
org.apache.gora.filter.FilterList,62
org.apache.gora.filter.SingleFieldValueFilter,107
org.apache.gora.mongodb.filters.DefaultFactory,106
org.apache.gora.accumulo.util.HexEncoderTest,24
org.apache.gora.accumulo.encoders.HexEncoder,148
org.apache.gora.mapreduce.GoraReducer,30
org.apache.gora.mapreduce.GoraOutputFormat,60
org.apache.gora.mapreduce.TestGoraInputFormat,30
org.apache.gora.mock.persistency.MockPersistent,52
org.apache.gora.mock.query.MockQuery,8
org.apache.gora.mock.store.MockDataStore,85
org.apache.gora.mapreduce.GoraInputSplit,48
org.apache.gora.persistency.impl.DirtySetWrapper,6
org.apache.gora.persistency.impl.DirtyCollectionWrapper,102
org.apache.gora.persistency.impl.DirtyFlag,20
org.apache.gora.examples.generated.V2,137
