Class,same,uchangedLines,deleted,added,changed,all, differenceSection
gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\BinaryEncoder.java,203,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\Encoder.java,70,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\HexEncoder.java,207,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\SignedBinaryEncoder.java,100,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\encoders\Utils.java,91,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\query\AccumuloQuery.java,36,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\query\AccumuloResult.java,83,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\store\AccumuloMapping.java,32,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\store\AccumuloStore.java,1040,0,0,0,0,0,0
gora-accumulo\src\main\java\org\apache\gora\accumulo\util\FixedByteArrayOutputStream.java,42,0,0,0,0,0,0
gora-accumulo\src\test\java\org\apache\gora\accumulo\store\AccumuloStoreTest.java,53,0,0,0,0,0,0
gora-accumulo\src\test\java\org\apache\gora\accumulo\store\AuthenticationTokenTest.java,90,0,0,0,0,0,0
gora-accumulo\src\test\java\org\apache\gora\accumulo\store\PartitionTest.java,95,0,0,0,0,0,0
gora-accumulo\src\test\java\org\apache\gora\accumulo\util\HexEncoderTest.java,55,0,0,0,0,0,0
gora-accumulo\src\test\java\org\apache\gora\accumulo\util\SignedBinaryEncoderTest.java,166,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraColumn.java,101,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraQuery.java,73,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraResult.java,169,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraResultSet.java,54,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraRow.java,58,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraSubColumn.java,108,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\query\CassandraSuperColumn.java,197,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\AvroSerializerUtil.java,94,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\CharSequenceSerializer.java,64,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\GoraSerializerTypeInferer.java,227,0,0,2,1,4,2
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\ListSerializer.java,193,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\MapSerializer.java,223,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\SpecificFixedSerializer.java,119,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\serializers\TypeUtils.java,232,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraClient.java,620,5,0,20,6,32,9
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraMapping.java,326,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraMappingManager.java,157,0,0,0,0,0,0
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\CassandraStore.java,665,0,1,0,2,5,3
gora-cassandra\src\main\java\org\apache\gora\cassandra\store\HectorUtils.java,117,0,0,0,0,0,0
gora-cassandra\src\test\java\org\apache\gora\cassandra\store\TestCassandraStore.java,104,0,0,0,0,0,0
gora-cassandra\src\test\java\org\apache\gora\cassandra\GoraCassandraTestDriver.java,160,0,0,0,0,0,0
gora-compiler\src\main\java\org\apache\gora\compiler\utils\LicenseHeaders.java,266,0,0,0,0,0,0
gora-compiler\src\main\java\org\apache\gora\compiler\GoraCompiler.java,267,0,0,0,0,0,0
gora-compiler-cli\src\main\java\org\apache\gora\compiler\cli\GoraCompilerCLI.java,69,0,0,0,0,0,0
gora-core\src\examples\java\org\apache\gora\examples\generated\Employee.java,660,1,0,0,12,24,12
gora-core\src\examples\java\org\apache\gora\examples\generated\ImmutableFields.java,338,1,0,0,4,8,4
gora-core\src\examples\java\org\apache\gora\examples\generated\Metadata.java,337,1,0,0,4,8,4
gora-core\src\examples\java\org\apache\gora\examples\generated\TokenDatum.java,256,1,0,0,2,4,2
gora-core\src\examples\java\org\apache\gora\examples\generated\V2.java,256,1,0,0,2,4,2
gora-core\src\examples\java\org\apache\gora\examples\generated\WebPage.java,661,1,0,0,13,26,13
gora-core\src\examples\java\org\apache\gora\examples\mapreduce\QueryCounter.java,153,0,0,0,0,0,0
gora-core\src\examples\java\org\apache\gora\examples\mapreduce\WordCount.java,171,0,0,0,0,0,0
gora-core\src\examples\java\org\apache\gora\examples\WebPageDataCreator.java,164,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\mapreduce\FsInput.java,64,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\query\AvroQuery.java,43,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\query\AvroResult.java,70,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\query\DataFileAvroResult.java,86,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\store\AvroStore.java,268,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\avro\store\DataFileAvroStore.java,136,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\filter\Filter.java,42,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\filter\FilterList.java,108,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\filter\FilterOp.java,30,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\filter\MapFieldValueFilter.java,176,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\filter\SingleFieldValueFilter.java,157,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraInputFormat.java,182,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraInputSplit.java,94,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraMapper.java,177,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraMapReduceUtils.java,89,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraOutputFormat.java,135,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraRecordCounter.java,50,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraRecordReader.java,135,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\GoraRecordWriter.java,75,0,0,4,0,4,2
gora-core\src\main\java\org\apache\gora\mapreduce\GoraReducer.java,86,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\NullOutputCommitter.java,55,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\PersistentDeserializer.java,73,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\PersistentSerialization.java,42,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\PersistentSerializer.java,66,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\StringComparator.java,35,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\mapreduce\StringSerialization.java,82,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\memory\store\MemStore.java,210,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\BeanFactoryImpl.java,107,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyCollectionWrapper.java,145,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyFlag.java,56,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyIteratorWrapper.java,35,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyListIterator.java,67,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyListWrapper.java,97,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtyMapWrapper.java,194,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\DirtySetWrapper.java,15,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\impl\PersistentBase.java,216,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\ws\impl\BeanFactoryWSImpl.java,156,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\ws\impl\PersistentWSBase.java,182,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\BeanFactory.java,68,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\Dirtyable.java,41,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\Persistent.java,119,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\Tombstone.java,16,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\persistency\Tombstones.java,242,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\impl\FileSplitPartitionQuery.java,85,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\impl\PartitionQueryImpl.java,174,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\impl\QueryBase.java,320,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\impl\ResultBase.java,160,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\ws\impl\PartitionWSQueryImpl.java,221,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\ws\impl\QueryWSBase.java,327,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\ws\impl\ResultWSBase.java,186,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\PartitionQuery.java,38,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\Query.java,156,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\query\Result.java,88,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\impl\DataStoreBase.java,283,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\impl\FileBackedDataStoreBase.java,271,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\ws\impl\WSBackedDataStoreBase.java,119,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\ws\impl\WSDataStoreBase.java,192,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\ws\impl\WSDataStoreFactory.java,466,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\DataStore.java,217,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\DataStoreFactory.java,447,1,2,0,0,2,1
gora-core\src\main\java\org\apache\gora\store\FileBackedDataStore.java,47,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\store\WebServiceBackedDataStore.java,33,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\AvroUtils.java,133,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\ByteUtils.java,723,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\ClassLoadingUtils.java,64,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\GoraException.java,46,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\IOUtils.java,536,0,0,0,0,0,0
gora-core\src\main\java\org\apache\gora\util\NodeWalker.java,112,0,0,0,0,0,0
