Class,same,uchangedLines,deleted,added,changed,all, differenceSection
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ClusterRepresentationUtil.java,219,1,1,0,2,5,3
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ClusterResource.java,147,26,4,5,9,27,14
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ClustersResource.java,108,21,2,1,3,9,5
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ConfigResource.java,240,61,4,2,6,18,5
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ConstraintResource.java,123,29,6,9,15,45,11
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ControllerResource.java,129,19,5,5,6,22,10
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ControllerStatusUpdateResource.java,81,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\CurrentStateResource.java,81,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\CurrentStatesResource.java,78,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ErrorResource.java,81,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ErrorsResource.java,80,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ExternalViewResource.java,67,1,3,3,8,22,5
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\IdealStateResource.java,124,52,3,5,10,28,7
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\InstanceResource.java,143,2,20,11,16,63,17
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\InstancesResource.java,172,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\JobQueueResource.java,0,65,0,135,0,135,17
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\JobQueuesResource.java,0,60,0,108,0,108,19
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\JobResource.java,0,54,0,92,0,92,22
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\JsonParameters.java,228,3,6,2,5,18,8
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ResourceGroupResource.java,113,0,7,10,17,51,10
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ResourceGroupsResource.java,159,0,5,7,10,32,9
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ResourceUtil.java,0,56,0,118,0,118,29
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\SchedulerTasksResource.java,176,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\StateModelResource.java,118,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\StateModelsResource.java,120,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\StatusUpdateResource.java,85,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\StatusUpdatesResource.java,78,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\WorkflowsResource.java,157,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ZkChildResource.java,129,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\resources\ZkPathResource.java,162,0,0,0,0,0,0
helix-admin-webapp\src\main\java\org\apache\helix\webapp\HelixAdminWebApp.java,68,1,0,13,7,27,11
helix-admin-webapp\src\main\java\org\apache\helix\webapp\RestAdminApplication.java,226,0,0,6,0,6,2
helix-admin-webapp\src\test\java\org\apache\helix\webapp\resources\TestJobQueuesResource.java,0,63,0,144,0,144,33
helix-admin-webapp\src\test\java\org\apache\helix\webapp\resources\TestJsonParameters.java,0,23,0,21,0,21,5
helix-admin-webapp\src\test\java\org\apache\helix\webapp\resources\TestResourceUtil.java,0,24,0,18,0,18,4
helix-admin-webapp\src\test\java\org\apache\helix\webapp\AdminTestBase.java,89,0,0,1,3,7,1
helix-admin-webapp\src\test\java\org\apache\helix\webapp\AdminTestHelper.java,69,7,0,57,0,57,11
helix-admin-webapp\src\test\java\org\apache\helix\webapp\TestClusterManagementWebapp.java,600,0,0,0,0,0,0
helix-admin-webapp\src\test\java\org\apache\helix\webapp\TestDisableResource.java,84,0,0,0,0,0,0
helix-admin-webapp\src\test\java\org\apache\helix\webapp\TestHelixAdminScenariosRest.java,1130,0,0,0,0,0,0
