"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.72602620330401,0.169810276129474,-16.0533641746482,5.41477627337671e-58
"sloc",0.00521632613568801,0.000371894927520797,14.0263438666996,1.075552487946e-44
"AntiSingleton",-34.7401496110385,67108863.9999999,-5.1766856925247e-07,0.999999586960241
"ComplexClass",-36.678336935891,14278659.6383111,-2.56875210033576e-06,0.999997950432359
"LongParameterList",1.13152374011329,0.518035046034321,2.18426098538192,0.0289430758845898
"ComplexClass:LongParameterList",0.313720773084787,49554817.4726936,6.33078253708952e-09,0.999999994948766
"(Intercept)",-2.56235070403869,0.155056510607266,-16.5252700064219,2.41356586488672e-61
"sloc",0.0041734506258766,0.0003146806781241,13.2624940646363,3.81977408011444e-40
"LongParameterList",0.888424007952891,0.515995859766377,1.72176576834383,0.0851119579686922
"(Intercept)",-2.51928095304398,0.150338498114359,-16.7573907192264,5.00095195603097e-63
"sloc",0.00412766007864325,0.000311293007601114,13.2597262959802,3.96339653681513e-40
