class,SLOC
org.jclouds.azureblob.blobstore.AzureBlobRequestSigner,52
org.jclouds.azureblob.blobstore.functions.BlobToAzureBlob,17
org.jclouds.blobstore.functions.BlobToHttpGetOptions,31
org.jclouds.http.HttpRequest,152
org.jclouds.http.options.GetOptions,131
org.jclouds.reflect.Invocation,40
org.jclouds.blobstore.options.GetOptions,137
org.jclouds.reflect.Reflection2,179
org.jclouds.blobstore.util.BlobStoreUtils,59
org.jclouds.elasticstack.functions.ListOfKeyValuesDelimitedByBlankLinesToStandardDriveSet,20
org.jclouds.elasticstack.domain.StandardDrive,111
org.jclouds.http.HttpResponse,72
org.jclouds.http.functions.ReturnStringIf2xx,23
org.jclouds.elasticstack.functions.ListOfKeyValuesDelimitedByBlankLinesToListOfMaps,24
org.jclouds.elasticstack.functions.MapToStandardDrive,38
org.jclouds.cloudstack.features.GlobalAccountApiLiveTest,25
org.jclouds.cloudstack.domain.Account,469
org.jclouds.cloudstack.internal.BaseCloudStackApiLiveTest,175
org.jclouds.cloudsigma.handlers.CloudSigmaErrorHandlerTest,74
org.jclouds.http.HttpCommand,58
org.jclouds.rest.AuthorizationException,15
org.jclouds.rest.ResourceNotFoundException,15
org.jclouds.cloudsigma.handlers.CloudSigmaErrorHandler,56
org.jclouds.http.internal.PayloadEnclosingImpl,58
org.jclouds.cloudstack.options.UpdateClusterOptions,40
org.jclouds.cloudstack.domain.AllocationState,16
org.jclouds.cloudstack.domain.Cluster,200
org.jclouds.cloudstack.domain.Host,680
org.jclouds.http.options.BaseHttpRequestOptions,91
org.jclouds.json.internal.OptionalTypeAdapterFactory,37
org.jclouds.Fallbacks,123
org.jclouds.aws.filters.FormSigner,120
org.jclouds.cloudwatch.binders.AlarmNamesBinder,14
org.jclouds.cloudwatch.domain.Alarm,197
org.jclouds.cloudwatch.domain.AlarmHistoryItem,58
org.jclouds.cloudwatch.functions.ListAlarmsToPagedIterable,22
org.jclouds.cloudwatch.options.ListAlarmHistoryOptions,27
org.jclouds.cloudwatch.options.ListAlarmsForMetric,45
org.jclouds.cloudwatch.options.ListAlarmsOptions,37
org.jclouds.cloudwatch.options.SaveAlarmOptions,108
org.jclouds.cloudwatch.xml.ListAlarmHistoryResponseHandler,51
org.jclouds.cloudwatch.xml.ListAlarmsForMetricResponseHandler,47
org.jclouds.cloudwatch.xml.ListAlarmsResponseHandler,51
org.jclouds.collect.IterableWithMarker,3
org.jclouds.collect.PagedIterable,21
org.jclouds.hpcloud.blockstorage.HPCloudBlockStorageProviderTest,5
org.jclouds.openstack.cinder.v1.CinderApiMetadata,46
org.jclouds.providers.internal.BaseProviderMetadataTest,36
org.jclouds.hpcloud.blockstorage.HPCloudBlockStorageProviderMetadata,51
org.jclouds.ec2.compute.domain.RegionNameAndIngressRules,15
org.jclouds.ec2.compute.domain.RegionAndName,67
org.jclouds.openstack.keystone.v2_0.extensions.ServiceAdminApiLiveTest,54
org.jclouds.openstack.keystone.v2_0.domain.Service,113
org.jclouds.openstack.keystone.v2_0.internal.BaseKeystoneApiLiveTest,11
org.jclouds.util.Predicates2,88
org.jclouds.openstack.trove.v1.utils.TroveUtils,42
org.jclouds.openstack.trove.v1.domain.Instance,145
org.jclouds.openstack.trove.v1.predicates.InstancePredicates,46
org.jclouds.aws.s3.blobstore.options.AWSS3PutObjectOptions,27
org.jclouds.s3.domain.CannedAccessPolicy,27
org.jclouds.s3.options.PutObjectOptions,33
org.jclouds.rackspace.cloudloadbalancers.v1.loadbalancer.strategy.CloudLoadBalancersLoadBalanceNodesStrategy,30
org.jclouds.loadbalancer.reference.LoadBalancerConstants,6
org.jclouds.rackspace.cloudloadbalancers.v1.domain.LoadBalancer,272
org.jclouds.rackspace.cloudloadbalancers.v1.domain.CreateLoadBalancer,132
org.jclouds.rackspace.cloudloadbalancers.v1.domain.AddNode,65
org.jclouds.rackspace.cloudloadbalancers.v1.domain.VirtualIP,58
org.jclouds.openstack.swift.SwiftKeystoneClientLiveTest,9
org.jclouds.openstack.swift.CommonSwiftClientLiveTest,239
org.jclouds.openstack.swift.SwiftKeystoneApiMetadata,57
org.jclouds.config.BindRestContextWithWildcardExtendsExplicitAndRawTypeTest,62
org.jclouds.domain.Credentials,48
org.jclouds.providers.AnonymousProviderMetadata,36
org.jclouds.providers.config.BindProviderMetadataContextAndCredentials,32
org.jclouds.rest.internal.BaseRestApiTest,104
org.jclouds.config.BindNameToContext,10
org.jclouds.config.BindRestContextWithWildcardExtendsExplicitAndRawType,26
org.jclouds.scriptbuilder.domain.SwitchArgTest,24
org.jclouds.scriptbuilder.domain.Statements,90
org.jclouds.scriptbuilder.domain.SwitchArg,94
org.jclouds.scriptbuilder.domain.OsFamily,4
