Class,same,uchangedLines,deleted,added,changed,all, differenceSection
apis\atmos\src\main\java\org\jclouds\atmos\binders\BindMetadataToHeaders.java,59,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\binders\BindUserMetadataToHeaders.java,69,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\config\AtmosBlobStoreContextModule.java,62,3,3,0,0,3,3
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\BlobMetadataToObject.java,55,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\BlobStoreListOptionsToListOptions.java,45,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\BlobToContentMetadata.java,38,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\BlobToObject.java,46,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\BlobToSystemMetadata.java,35,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\DirectoryEntryListToResourceMetadataList.java,68,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\ObjectToBlob.java,51,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\functions\ObjectToBlobMetadata.java,82,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\AtmosAsyncBlobStore.java,0,99,190,0,0,190,31
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\AtmosBlobRequestSigner.java,104,0,0,0,4,8,2
apis\atmos\src\main\java\org\jclouds\atmos\blobstore\AtmosBlobStore.java,243,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\config\AtmosHttpApiModule.java,0,35,0,61,0,61,13
apis\atmos\src\main\java\org\jclouds\atmos\config\AtmosObjectModule.java,46,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\config\AtmosParserModule.java,31,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\config\AtmosRestClientModule.java,0,35,62,0,0,62,13
apis\atmos\src\main\java\org\jclouds\atmos\domain\internal\AtmosObjectImpl.java,167,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\internal\BoundedLinkedHashSet.java,72,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\internal\DelegatingMutableContentMetadata.java,200,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\AtmosError.java,59,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\AtmosObject.java,50,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\BoundedSet.java,32,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\DirectoryEntry.java,93,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\FileType.java,35,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\MutableContentMetadata.java,42,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\SystemMetadata.java,166,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\UploadInfo.java,38,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\domain\UserMetadata.java,116,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\fallbacks\EndpointIfAlreadyExists.java,55,1,6,0,0,6,3
apis\atmos\src\main\java\org\jclouds\atmos\fallbacks\TrueOn404FalseOnPathNotEmpty.java,39,2,6,0,0,6,3
apis\atmos\src\main\java\org\jclouds\atmos\filters\ShareUrl.java,107,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\filters\SignRequest.java,183,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\functions\AtmosObjectName.java,40,0,0,0,0,0,0
apis\atmos\src\main\java\org\jclouds\atmos\functions\ParseDirectoryListFromContentAndHeaders.java,60,0,0,0,0,0,0
