class,SLOC
org.apache.isis.core.runtime.runner.opts.OptionHandlerDeploymentType,38
org.apache.isis.core.commons.config.NotFoundPolicy,3
org.apache.isis.core.runtime.optionhandler.BootPrinter,22
org.apache.isis.core.runtime.optionhandler.OptionHandlerAbstract,24
org.apache.isis.core.runtime.runner.Constants,31
org.apache.isis.core.runtime.system.DeploymentType,74
org.apache.isis.core.runtime.system.SystemConstants,26
org.apache.isis.core.metamodel.facets.object.named.staticmethod.NamedFacetStaticMethodFactory,17
org.apache.isis.core.commons.lang.MethodExtensions,60
org.apache.isis.core.metamodel.facetapi.FacetUtil,83
org.apache.isis.core.metamodel.facetapi.FeatureType,83
org.apache.isis.core.metamodel.methodutils.MethodScope,23
org.apache.isis.core.metamodel.facets.MethodFinderUtils,111
org.apache.isis.core.metamodel.facets.MethodPrefixBasedFacetFactoryAbstract,40
org.apache.isis.core.metamodel.facets.MethodPrefixConstants,40
org.apache.isis.core.metamodel.facets.object.named.staticmethod.NamedFacetStaticMethod,5
org.apache.isis.viewer.restfulobjects.applib.client.RestfulRequest,128
org.apache.isis.viewer.restfulobjects.applib.JsonRepresentation,1208
org.apache.isis.viewer.restfulobjects.applib.util.Parser,332
org.apache.isis.viewer.restfulobjects.applib.client.ClientRequestConfigurer,77
org.apache.isis.viewer.restfulobjects.applib.client.RestfulResponse,209
org.apache.isis.core.objectstore.internal.ObjectStorePersistedObjectsDefault_savesOidGeneratorAsMemento,22
org.apache.isis.core.runtime.system.persistence.IdentifierGeneratorDefault,64
org.apache.isis.core.unittestsupport.jmocking.JUnitRuleMockery2,154
org.apache.isis.core.objectstore.internal.ObjectStorePersistedObjectsDefault,49
org.apache.isis.core.objectstore.internal.ObjectStoreInstances_init,18
org.apache.isis.core.metamodel.spec.ObjectSpecId,41
org.apache.isis.core.objectstore.internal.ObjectStoreInstances,98
org.apache.isis.viewer.restfulobjects.rendering.domainobjects.JsonValueEncoderTest_appendValueAndFormat,294
org.apache.isis.viewer.restfulobjects.rendering.domainobjects.JsonValueEncoder,690
org.apache.isis.core.integtestsupport.legacy.sample.service.ProductRepository,28
org.apache.isis.applib.AbstractFactoryAndRepository,8
org.apache.isis.core.integtestsupport.legacy.sample.domain.Customer,525
org.apache.isis.core.integtestsupport.legacy.sample.domain.Product,82
org.apache.isis.core.integtestsupport.components.AuthenticationManagerNull,29
org.apache.isis.core.metamodel.facets.object.notpersistable.fallback.NotPersistableFacetNull,9
org.apache.isis.applib.events.UsabilityEvent,6
org.apache.isis.core.metamodel.facets.object.notpersistable.NotPersistableFacetAbstract,8
org.apache.isis.core.metamodel.interactions.UsabilityContext,10
org.apache.isis.core.commons.encoding.ByteEncoderDecoderRoundtripTest,96
org.apache.isis.core.commons.encoding.EncodableObject,11
org.apache.isis.core.commons.encoding.DataInputStreamExtended,125
org.apache.isis.core.commons.encoding.DataOutputStreamExtended,140
org.apache.isis.core.runtime.persistence.objectstore.algorithm.PersistAlgorithmContractTest,81
org.apache.isis.core.metamodel.spec.Persistability,18
org.apache.isis.core.runtime.persistence.NotPersistableException,15
org.apache.isis.core.runtime.persistence.adapter.PojoAdapter,313
org.apache.isis.core.runtime.persistence.objectstore.transaction.PojoAdapterBuilder,164
org.apache.isis.viewer.restfulobjects.rendering.Caching,17
org.apache.isis.core.runtime.memento.MementoTest_data,42
org.apache.isis.core.integtestsupport.IsisSystemWithFixtures,453
org.apache.isis.core.runtime.system.context.IsisContext,182
org.apache.isis.core.tck.dom.scalars.WrapperValuedEntity,130
org.apache.isis.core.runtime.memento.Data,36
org.apache.isis.core.runtime.memento.Memento,271
org.apache.isis.core.runtime.memento.ObjectData,94
org.apache.isis.core.runtime.system.persistence.PersistenceSession,662
org.apache.isis.core.metamodel.consent.InteractionContextType,25
org.apache.isis.core.metamodel.interactions.InteractionContext,49
org.apache.isis.objectstore.jdo.metamodel.facets.prop.column.MaxLengthFacetDerivedFromJdoColumn,5
org.apache.isis.core.metamodel.facets.propparam.maxlen.MaxLengthFacetAbstract,34
org.apache.isis.viewer.restfulobjects.tck.domainobjectorservice.id.action.invoke.Get_givenScalarArgBigInteger_whenArgProvided_ok_TODO,2
org.apache.isis.security.shiro.authentication.ShiroAuthenticationManagerInstaller,10
org.apache.isis.core.runtime.authentication.AuthenticationManagerStandardInstallerAbstractForDfltRuntime,9
org.apache.isis.security.shiro.ShiroAuthenticatorOrAuthorizor,148
org.apache.isis.viewer.restfulobjects.tck.user.root.Get_whenQueryArg_xRoFollowLinks_thenRepresentation_ok,36
org.apache.isis.viewer.restfulobjects.applib.Rel,70
org.apache.isis.viewer.restfulobjects.applib.RestfulHttpMethod,46
org.apache.isis.viewer.restfulobjects.applib.client.RestfulClient,74
org.apache.isis.viewer.restfulobjects.applib.user.UserRepresentation,21
org.apache.isis.viewer.restfulobjects.tck.IsisWebServerRule,44
org.apache.isis.viewer.restfulobjects.applib.domainobjects.DomainRepresentation,28
