"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-4.17312157097925,0.174071601423164,-23.9735921130207,5.24497632080988e-127
"sloc",0.000240995990422955,0.000298344355496183,0.807777945127032,0.41921842359895
"AntiSingleton",2.77152673057405,1.01495435505808,2.73069100769113,0.0063201697106714
"ClassDataShouldBePrivate",-15.1480237243231,5441.91662000381,-0.00278358247324863,0.997779025389015
"ComplexClass",1.16190785017122,0.485837671052716,2.39155569730438,0.0167771381803114
"LongParameterList",-15.1495240017666,2286.21842661782,-0.00662645520890951,0.994712892388723
"AntiSingleton:ClassDataShouldBePrivate",-2.76461500256136,7696.3797424339,-0.000359209796694242,0.999713392055292
"AntiSingleton:ComplexClass",-19.1701413184947,9426.61691370179,-0.00203361836955849,0.998377408418764
"ClassDataShouldBePrivate:ComplexClass",-2.01533450543533,6964.70559152629,-0.000289363919113439,0.999769120999708
"ComplexClass:LongParameterList",-1.26665421396551,5895.84178476263,-0.00021483856931831,0.999828583623795
"(Intercept)",-4.15463869684045,0.170246919429747,-24.4036057201897,1.5659093210746e-131
"AntiSingleton",1.84976794396929,1.01667447935376,1.8194298977044,0.0688458688539631
"ComplexClass",1.10675023477722,0.479885014992197,2.30628213051249,0.0210948729653174
"(Intercept)",-4.13767768692845,0.169034431340365,-24.478312815434,2.5145458831892e-132
"ComplexClass",1.14194541337448,0.478120470320128,2.38840519128972,0.0169216737584202
