Class,same,uchangedLines,deleted,added,changed,all, differenceSection
examples\jackrabbit-firsthops\src\main\java\org\apache\jackrabbit\firsthops\FirstHop.java,47,0,0,1,3,7,3
examples\jackrabbit-firsthops\src\main\java\org\apache\jackrabbit\firsthops\SecondHop.java,60,1,0,0,4,8,2
examples\jackrabbit-firsthops\src\main\java\org\apache\jackrabbit\firsthops\ThirdHop.java,95,1,1,1,3,8,3
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\jmx\EventListenerMBean.java,84,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\jmx\ManagedRepositoryMBean.java,68,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\jmx\package-info.java,22,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\jmx\QueryStatManagerMBean.java,79,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\management\DataStoreGarbageCollector.java,106,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\management\MarkEventListener.java,32,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\management\package-info.java,22,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\management\RepositoryManager.java,50,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\observation\JackrabbitEvent.java,35,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\observation\JackrabbitEventFilter.java,309,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\observation\JackrabbitObservationManager.java,55,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\observation\package-info.java,22,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\query\JackrabbitQueryResult.java,38,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\authentication\token\package-info.java,23,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\authentication\token\TokenCredentials.java,117,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\authorization\package-info.java,22,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\authorization\PrivilegeManager.java,75,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\principal\ItemBasedPrincipal.java,39,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\principal\JackrabbitPrincipal.java,27,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\principal\package-info.java,22,0,0,0,0,0,0
jackrabbit-api\src\main\java\org\apache\jackrabbit\api\security\principal\PrincipalIterator.java,34,0,0,0,0,0,0
