"Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.54510309401652,0.0659465288945286,-38.5934352676397,0
"sloc",0.000258599063634955,0.000218764315785034,1.18208978784759,0.237170076015575
"AntiSingleton",0.675583185839939,0.1944074675779,3.47508865918039,0.000510684537149708
"ClassDataShouldBePrivate",-0.323180327025471,0.657081588738226,-0.491842006479081,0.6228310382725
"ComplexClass",0.570539011041725,0.221872476747969,2.57147267387209,0.0101267006752026
"LongParameterList",0.843570233583084,0.211898419087262,3.98101239837798,6.86223694215976e-05
"AntiSingleton:ClassDataShouldBePrivate",0.175470951514794,0.677557986462288,0.25897554898729,0.795654106145289
"AntiSingleton:ComplexClass",0.143166004342437,0.391060656921658,0.366096670192822,0.714292942107925
"AntiSingleton:LongParameterList",-0.637105613811346,0.544438833730444,-1.1702060439847,0.241918061156122
"ClassDataShouldBePrivate:ComplexClass",-0.616552979541889,0.616079233064332,-1.00076897004822,0.316938514464401
"ClassDataShouldBePrivate:LongParameterList",0.628871233055353,0.67781694662358,0.927789185838387,0.353516934678412
"ComplexClass:LongParameterList",-0.650845387258908,0.514824951755054,-1.26420715437384,0.206155683618134
"(Intercept)",-2.51422280715592,0.0625339630239211,-40.2057167909565,0
"AntiSingleton",0.588304179184307,0.144858525008371,4.06123270377294,4.88142852377914e-05
"ComplexClass",0.508469357618353,0.167297105369134,3.03931951779104,0.00237113227912781
"LongParameterList",0.643939109907635,0.180589371482047,3.56576416775253,0.000362797509882666
