Class,same,uchangedLines,deleted,added,changed,all, differenceSection
jena-arq\src\main\java\arq\cmd\CmdException.java,29,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmd\CmdUtils.java,34,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmd\TerminationException.java,30,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\Arg.java,69,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ArgDecl.java,97,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ArgModule.java,26,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ArgModuleGeneral.java,26,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ArgProc.java,27,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CallbackHelp.java,24,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CallbackVersion.java,24,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdArgModule.java,68,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdARQ.java,60,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdARQ_SSE.java,45,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdGeneral.java,91,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdLARQ.java,29,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdLineArgs.java,415,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdLineTest.java,39,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdMain.java,117,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CmdUpdate.java,62,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\CommandLineBase.java,137,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModAlgebra.java,77,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModAssembler.java,80,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModBase.java,23,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModDataset.java,40,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModDatasetAssembler.java,70,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModDatasetGeneral.java,124,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModDatasetGeneralAssembler.java,53,0,0,0,0,0,0
jena-arq\src\main\java\arq\cmdline\ModEngine.java,123,0,0,0,0,0,0
