"","n","AntiSingleton","Blob","ClassDataShouldBePrivate","ComplexClass","LargeClass","LazyClass","LongMethod","LongParameterList","MessageChains","RefusedParentBequest","SpaghettiCode","SpeculativeGenerality","SwissArmyKnife"
"AntiSingleton_0","646","","","","","","","","","","","","",""
"Blob_0","646","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_0","645","","","","0.0786248304818756","","0.00734496124031008","","0.210633946789898","","","","",""
"ComplexClass_0","601","","","","","","0.00590682196339434","","0.207985643710416","","","","",""
"LargeClass_0","646","","","","","","","","","","","","",""
"LazyClass_0","619","","","","0.0754652918591434","","","","0.2178657442318","","","","",""
"LongMethod_0","646","","","","","","","","","","","","",""
"LongParameterList_0","543","","","","0.0704896239426626","","0.00688305709023941","","","","","","",""
"MessageChains_0","646","","","","","","","","","","","","",""
"RefusedParentBequest_0","646","","","","","","","","","","","","",""
"SpaghettiCode_0","646","","","","","","","","","","","","",""
"SpeculativeGenerality_0","646","","","","","","","","","","","","",""
"SwissArmyKnife_0","646","","","","","","","","","","","","",""
"AntiSingleton_1","0","","","","","","","","","","","","",""
"Blob_1","0","","","","","","","","","","","","",""
"ClassDataShouldBePrivate_1","1","","","","0","","0","","0","","","","",""
"ComplexClass_1","45","","","","","","0.0263888888888889","","0.241322751322751","","","","",""
"LargeClass_1","0","","","","","","","","","","","","",""
"LazyClass_1","27","","","","0.148148148148148","","","","0.037037037037037","","","","",""
"LongMethod_1","0","","","","","","","","","","","","",""
"LongParameterList_1","103","","","","0.120749027766446","","0.00970873786407767","","","","","","",""
"MessageChains_1","0","","","","","","","","","","","","",""
"RefusedParentBequest_1","0","","","","","","","","","","","","",""
"SpaghettiCode_1","0","","","","","","","","","","","","",""
"SpeculativeGenerality_1","0","","","","","","","","","","","","",""
"SwissArmyKnife_1","0","","","","","","","","","","","","",""
